Unnamed: 0,DEPTH,DT,GR,NPHI,RHOB,COT
149,3938.0,51.816,8.344,-1.113,2.964,
150,3938.2,51.77,8.637,-1.064,2.973,
151,3938.4,51.586,8.887,-1.026,2.982,
152,3938.6,51.434,9.258,-1.018,2.985,
153,3938.8,51.859,9.611,-1.0,2.99,
154,3939.0,52.449,9.477,-0.975,2.996,
155,3939.2,52.414,9.105,-0.979,2.993,
156,3939.4,52.09,9.113,-0.996,2.977,
157,3939.6,52.006,9.33,-0.998,2.978,
158,3939.8,52.088,9.035,-0.991,2.984,
159,3940.0,52.406,8.456,-0.998,2.988,
160,3940.2,52.584,8.254,-1.023,2.982,
161,3940.4,52.422,7.66,-1.052,2.966,
162,3940.6,52.141,7.121,-1.094,2.96,
163,3940.8,51.961,7.102,-1.11,2.967,
164,3941.0,52.055,7.391,-1.099,2.979,
165,3941.2,52.305,7.691,-1.1,3.0,
166,3941.4,52.637,7.895,-1.058,3.015,
167,3941.6,52.843,8.004,-0.92,2.998,
168,3941.8,52.984,8.398,-0.841,2.98,
169,3942.0,53.003,9.191,-0.82,2.968,
170,3942.2,52.648,9.838,-0.818,2.959,
171,3942.4,52.422,9.633,-0.841,2.959,
172,3942.6,52.374,8.934,-0.836,2.961,
173,3942.8,52.241,8.63,-0.751,2.966,
174,3943.0,52.305,8.74,-0.628,2.967,
175,3943.2,52.687,8.512,-0.625,2.968,
176,3943.4,52.531,8.121,-0.676,2.976,
177,3943.6,52.406,7.523,-0.696,2.984,
178,3943.8,52.707,6.938,-0.718,2.983,
179,3944.0,52.851,6.707,-0.741,2.982,
180,3944.2,52.57,6.774,-0.732,2.985,
181,3944.4,52.294,7.219,-0.676,2.987,
182,3944.6,52.113,7.809,-0.583,2.99,
183,3944.8,51.962,8.246,-0.516,2.982,
184,3945.0,51.781,8.663,-0.541,2.973,
185,3945.2,51.712,8.648,-0.631,2.985,
186,3945.4,51.897,8.109,-0.661,2.995,
187,3945.6,51.861,7.492,-0.629,2.98,
188,3945.8,51.91,7.586,-0.592,2.975,
189,3946.0,52.009,8.355,-0.564,2.973,
190,3946.2,51.951,8.949,-0.539,2.963,
191,3946.4,51.847,9.496,-0.566,2.962,
192,3946.6,51.824,9.883,-0.634,2.964,
193,3946.8,52.191,10.316,-0.653,2.962,
194,3947.0,52.276,10.859,-0.644,2.958,
195,3947.2,52.073,10.641,-0.632,2.95,
196,3947.4,52.151,9.793,-0.61,2.946,
197,3947.6,52.231,9.507,-0.578,2.934,
198,3947.8,52.255,9.871,-0.56,2.921,
199,3948.0,52.379,10.159,-0.566,2.926,
200,3948.2,52.684,10.097,-0.573,2.927,
201,3948.4,52.939,10.348,-0.565,2.907,
202,3948.6,53.088,11.051,-0.565,2.893,
203,3948.8,52.836,11.309,-0.593,2.907,
204,3949.0,52.402,11.348,-0.656,2.931,
205,3949.2,52.283,11.255,-0.775,2.954,
206,3949.4,52.287,10.543,-0.761,2.98,
207,3949.6,52.251,9.602,-0.702,2.995,
208,3949.8,52.235,8.426,-0.709,2.988,
209,3950.0,52.207,7.837,-0.719,2.968,
210,3950.2,52.383,7.825,-0.739,2.975,
211,3950.4,52.801,7.699,-0.815,2.996,
212,3950.6,53.06,7.579,-0.915,3.009,
213,3950.8,53.118,7.895,-0.915,2.995,
214,3951.0,53.058,8.648,-0.844,2.984,0.25
215,3951.2,52.828,9.092,-0.806,2.983,
216,3951.4,52.817,8.895,-0.786,2.975,
217,3951.6,53.18,8.539,-0.721,2.961,
218,3951.8,53.272,7.93,-0.615,2.953,
219,3952.0,53.035,7.027,-0.589,2.959,
220,3952.2,52.848,6.514,-0.697,2.97,
221,3952.4,52.737,6.499,-0.788,2.975,
222,3952.6,52.721,6.525,-0.84,2.989,
223,3952.8,52.988,6.517,-0.866,3.003,
224,3953.0,53.039,6.658,-0.853,2.991,
225,3953.2,52.57,6.704,-0.821,2.974,
226,3953.4,52.311,6.635,-0.753,2.965,
227,3953.6,52.535,6.561,-0.582,2.952,
228,3953.8,54.125,6.734,-0.188,2.926,
229,3954.0,57.938,7.449,0.531,2.891,
230,3954.2,62.688,8.52,2.121,2.858,
231,3954.4,65.25,10.387,5.039,2.803,
232,3954.6,64.102,12.453,6.699,2.733,
233,3954.8,60.625,12.566,4.949,2.757,
234,3955.0,57.512,11.277,2.055,2.871,
235,3955.2,57.246,10.531,1.061,2.923,
236,3955.4,57.273,10.586,1.063,2.925,
237,3955.6,57.309,10.992,1.523,2.935,
238,3955.8,58.457,11.234,2.559,2.926,
239,3956.0,59.195,12.117,3.586,2.887,
240,3956.2,58.332,13.895,3.625,2.866,
241,3956.4,57.445,15.492,3.34,2.869,
242,3956.6,59.688,16.184,4.602,2.841,
243,3956.8,63.313,17.781,7.246,2.786,
244,3957.0,65.629,21.875,9.496,2.737,
245,3957.2,65.266,26.508,9.727,2.723,
246,3957.4,64.754,27.543,9.23,2.735,
247,3957.6,65.539,27.074,9.91,2.733,
248,3957.8,66.164,28.344,10.934,2.705,
249,3958.0,66.859,29.793,11.516,2.674,
250,3958.2,68.578,29.992,12.234,2.653,
251,3958.4,70.449,29.535,13.055,2.643,
252,3958.6,71.684,30.125,14.008,2.638,
253,3958.8,71.947,31.402,15.129,2.629,
254,3959.0,71.914,32.063,15.426,2.623,
255,3959.2,71.82,31.988,14.875,2.62,
256,3959.4,71.137,31.023,14.545,2.607,
257,3959.6,70.395,29.742,14.883,2.575,
258,3959.8,70.204,29.347,15.512,2.535,
259,3960.0,70.134,30.03,15.914,2.491,0.18
260,3960.2,70.049,29.93,16.211,2.454,
261,3960.4,70.044,29.945,16.633,2.447,
262,3960.6,70.23,31.516,16.941,2.462,
263,3960.8,70.199,33.363,16.75,2.463,
264,3961.0,69.641,33.156,16.332,2.426,
265,3961.2,70.297,31.906,16.259,2.426,
266,3961.4,71.852,31.457,16.311,2.484,
267,3961.6,70.75,32.398,15.508,2.539,
268,3961.8,68.02,33.793,13.695,2.571,
269,3962.0,67.969,34.172,13.742,2.562,
270,3962.2,68.875,34.363,13.645,2.543,
271,3962.4,69.676,34.238,13.01,2.523,
272,3962.6,70.191,33.43,13.188,2.511,
273,3962.8,71.016,32.797,13.902,2.505,
274,3963.0,71.195,33.934,14.91,2.485,
275,3963.2,70.422,35.07,15.813,2.457,
276,3963.4,69.477,34.836,16.073,2.44,
277,3963.6,68.309,33.211,15.699,2.448,
278,3963.8,67.832,30.449,14.391,2.485,
279,3964.0,68.07,28.641,13.027,2.524,
280,3964.2,68.41,28.742,11.707,2.537,
281,3964.4,68.383,29.859,10.273,2.556,
282,3964.6,68.039,30.258,9.746,2.575,
283,3964.8,67.897,28.922,11.297,2.592,
284,3965.0,68.59,27.369,13.383,2.62,
285,3965.2,69.723,27.512,15.066,2.63,
286,3965.4,70.367,27.984,15.227,2.614,
287,3965.6,70.612,28.723,14.48,2.601,
288,3965.8,70.922,31.188,15.055,2.596,
289,3966.0,71.277,34.875,16.176,2.578,0.29
290,3966.2,71.633,37.043,16.588,2.564,
291,3966.4,72.133,36.691,16.514,2.563,
292,3966.6,72.813,35.492,16.23,2.559,
293,3966.8,73.289,34.875,15.684,2.541,
294,3967.0,73.285,36.066,15.482,2.523,
295,3967.2,72.723,39.617,15.855,2.525,
296,3967.4,72.125,42.512,15.934,2.529,
297,3967.6,71.93,44.039,15.281,2.527,
298,3967.8,72.543,41.688,15.037,2.542,
299,3968.0,72.908,39.664,15.57,2.554,
300,3968.2,72.715,39.129,15.809,2.561,
301,3968.4,72.332,38.277,15.747,2.559,
302,3968.6,71.883,37.574,15.538,2.552,
303,3968.8,71.285,37.969,15.376,2.552,
304,3969.0,70.971,37.91,15.392,2.572,
305,3969.2,71.105,37.504,15.36,2.596,
306,3969.4,71.349,38.195,14.859,2.589,
307,3969.6,71.366,40.121,14.47,2.577,
308,3969.8,71.224,42.297,14.476,2.582,
309,3970.0,71.758,43.855,14.423,2.589,
310,3970.2,74.094,44.816,14.318,2.607,
311,3970.4,77.293,46.703,14.789,2.635,
312,3970.6,79.652,50.625,15.918,2.651,
313,3970.8,79.426,53.293,17.145,2.651,
314,3971.0,76.625,51.895,17.547,2.644,
315,3971.2,72.563,48.188,16.699,2.642,
316,3971.4,68.5,43.5,15.039,2.643,
317,3971.6,65.898,38.625,13.043,2.654,
318,3971.8,64.872,34.375,12.029,2.672,
319,3972.0,65.645,32.07,13.617,2.684,
320,3972.2,67.621,31.41,16.57,2.679,
321,3972.4,70.141,32.488,17.039,2.65,
322,3972.6,72.055,35.195,16.004,2.615,
323,3972.8,72.758,37.965,15.884,2.587,
324,3973.0,72.691,38.926,16.048,2.578,
325,3973.2,72.414,39.095,16.094,2.58,
326,3973.4,72.229,38.75,16.52,2.582,
327,3973.6,72.324,38.602,16.992,2.584,
328,3973.8,72.351,38.785,17.496,2.599,
329,3974.0,72.023,37.188,17.625,2.598,
330,3974.2,71.559,35.77,17.46,2.596,
331,3974.4,71.445,35.246,17.53,2.608,
332,3974.6,71.824,34.176,17.447,2.613,
333,3974.8,72.652,33.352,17.463,2.605,
334,3975.0,73.926,33.625,18.148,2.588,
335,3975.2,74.82,34.25,19.133,2.563,
336,3975.4,74.719,34.397,19.395,2.552,
337,3975.6,73.887,34.274,18.59,2.573,
338,3975.8,73.326,35.188,17.799,2.616,
339,3976.0,73.492,37.559,18.02,2.642,
340,3976.2,73.871,39.055,18.338,2.646,
341,3976.4,73.994,38.09,18.485,2.625,
342,3976.6,74.082,35.184,18.93,2.586,
343,3976.8,74.355,33.633,19.52,2.561,
344,3977.0,74.059,34.191,19.5,2.561,
345,3977.2,72.43,35.012,18.52,2.581,
346,3977.4,70.082,35.742,16.691,2.599,
347,3977.6,68.344,35.746,14.164,2.612,
348,3977.8,67.43,33.191,11.945,2.621,
349,3978.0,67.613,28.375,11.406,2.6,
350,3978.2,68.676,23.75,11.934,2.571,
351,3978.4,69.684,20.816,12.348,2.577,
352,3978.6,69.648,19.504,13.16,2.596,
353,3978.8,68.98,18.152,14.445,2.596,
354,3979.0,68.074,17.148,14.891,2.594,
355,3979.2,67.496,17.434,14.059,2.606,
356,3979.4,68.125,19.5,12.805,2.624,
357,3979.6,69.48,24.25,13.855,2.627,
358,3979.8,70.363,31.0,17.063,2.626,
359,3980.0,70.672,37.438,19.965,2.642,
360,3980.2,70.52,41.148,17.762,2.658,
361,3980.4,70.219,41.616,15.566,2.657,
362,3980.6,69.668,40.324,14.578,2.665,
363,3980.8,69.301,37.797,14.387,2.655,
364,3981.0,69.691,36.887,14.965,2.64,
365,3981.2,70.036,38.02,15.36,2.633,
366,3981.4,69.359,39.781,14.441,2.629,
367,3981.6,67.91,39.809,13.31,2.624,
368,3981.8,67.402,38.609,13.496,2.617,
369,3982.0,68.215,38.598,14.152,2.612,
370,3982.2,69.52,40.453,15.152,2.602,
371,3982.4,70.746,42.465,16.051,2.6,
372,3982.6,71.828,43.609,16.559,2.614,
373,3982.8,72.363,43.885,17.172,2.612,
374,3983.0,71.992,42.699,17.734,2.58,
375,3983.2,71.642,40.613,18.137,2.551,
376,3983.4,71.606,38.719,18.359,2.541,
377,3983.6,71.887,37.715,18.464,2.546,
378,3983.8,72.039,38.258,18.455,2.552,
379,3984.0,71.129,39.176,18.556,2.559,
380,3984.2,70.523,39.501,18.576,2.549,
381,3984.4,72.129,40.04,18.73,2.507,
382,3984.6,73.302,39.539,20.121,2.458,
383,3984.8,72.281,37.559,21.949,2.435,
384,3985.0,69.285,35.383,21.125,2.47,
385,3985.2,66.961,34.229,16.625,2.571,
386,3985.4,68.473,34.727,14.707,2.622,
387,3985.6,71.504,36.25,16.195,2.608,
388,3985.8,74.754,37.598,17.93,2.598,
389,3986.0,77.055,39.051,18.941,2.587,
390,3986.2,77.504,40.094,19.527,2.575,
391,3986.4,75.574,39.242,19.457,2.549,
392,3986.6,74.098,39.094,19.547,2.561,
393,3986.8,71.77,39.301,20.234,2.575,
394,3987.0,69.535,40.156,20.813,2.571,
395,3987.2,68.579,41.703,20.914,2.563,
396,3987.4,69.039,43.594,20.402,2.566,
397,3987.6,70.977,45.945,19.959,2.558,
398,3987.8,73.184,48.586,19.962,2.549,
399,3988.0,75.023,49.328,20.075,2.556,
400,3988.2,76.625,48.523,20.004,2.575,
401,3988.4,77.527,48.742,19.656,2.593,
402,3988.6,78.23,49.348,19.344,2.596,
403,3988.8,78.389,48.414,19.363,2.576,
404,3989.0,78.424,47.701,20.023,2.548,
405,3989.2,78.734,47.496,20.969,2.535,
406,3989.4,79.219,47.042,21.191,2.533,
407,3989.6,79.66,46.691,20.734,2.531,
408,3989.8,79.988,45.434,20.297,2.53,
409,3990.0,79.75,43.242,19.969,2.53,0.51
410,3990.2,78.082,41.434,19.227,2.538,
411,3990.4,75.973,40.32,17.816,2.557,
412,3990.6,74.566,39.707,16.191,2.576,
413,3990.8,74.131,40.383,15.372,2.593,
414,3991.0,73.926,41.746,15.496,2.594,
415,3991.2,73.582,42.566,15.591,2.576,
416,3991.4,73.532,42.254,15.344,2.57,
417,3991.6,74.047,41.332,15.268,2.57,
418,3991.8,74.349,40.84,15.247,2.568,
419,3992.0,73.57,40.618,14.703,2.57,
420,3992.2,71.945,40.773,13.613,2.57,
421,3992.4,70.527,41.891,12.414,2.571,
422,3992.6,71.328,44.625,11.754,2.552,
423,3992.8,73.555,47.227,12.992,2.543,
424,3993.0,75.414,48.777,15.039,2.557,
425,3993.2,76.676,47.375,16.438,2.569,
426,3993.4,77.699,44.34,17.617,2.562,
427,3993.6,78.621,43.383,18.664,2.539,
428,3993.8,79.445,43.959,19.254,2.524,
429,3994.0,80.203,43.668,19.723,2.514,
430,3994.2,80.895,43.48,20.098,2.501,
431,3994.4,81.431,43.75,20.445,2.476,
432,3994.6,81.23,44.184,20.696,2.45,
433,3994.8,80.266,44.852,20.109,2.449,
434,3995.0,79.594,45.145,18.652,2.477,
435,3995.2,80.352,44.723,17.739,2.504,
436,3995.4,82.938,44.588,18.02,2.514,
437,3995.6,84.132,44.667,18.758,2.522,
438,3995.8,80.922,43.828,19.2,2.531,
439,3996.0,78.5,42.305,19.202,2.528,
440,3996.2,78.285,41.737,19.48,2.517,
441,3996.4,78.539,41.906,19.867,2.499,
442,3996.6,79.25,41.719,19.702,2.471,
443,3996.8,80.586,41.391,19.859,2.438,
444,3997.0,81.84,41.699,20.816,2.413,
445,3997.2,82.031,42.578,21.539,2.405,
446,3997.4,81.344,43.065,20.727,2.452,
447,3997.6,80.266,42.516,19.527,2.486,
448,3997.8,79.305,40.672,18.934,2.501,
449,3998.0,78.955,39.141,19.059,2.506,
450,3998.2,78.807,39.336,19.914,2.491,
451,3998.4,78.602,40.137,20.68,2.481,
452,3998.6,78.141,40.92,20.215,2.494,
453,3998.8,77.474,40.934,18.629,2.523,
454,3999.0,77.176,41.328,18.156,2.524,
455,3999.2,76.73,41.669,17.789,2.536,
456,3999.4,76.723,40.906,17.761,2.542,
457,3999.6,77.363,40.35,18.117,2.522,
458,3999.8,78.414,40.953,18.973,2.498,
459,4000.0,79.16,41.871,19.742,2.47,
460,4000.2,79.621,42.457,19.974,2.453,
461,4000.4,80.164,44.504,19.938,2.463,
462,4000.6,80.438,47.813,19.829,2.469,
463,4000.8,80.082,49.098,20.145,2.454,
464,4001.0,78.965,47.422,20.323,2.448,
465,4001.2,77.914,44.762,19.867,2.456,
466,4001.4,77.755,43.418,19.074,2.476,
467,4001.6,78.219,44.125,18.395,2.497,
468,4001.8,78.898,45.313,18.25,2.501,
469,4002.0,79.221,45.718,19.059,2.494,
470,4002.2,78.934,44.977,19.805,2.489,
471,4002.4,78.234,44.269,19.078,2.49,
472,4002.6,77.34,44.594,17.418,2.519,
473,4002.8,76.152,44.602,16.355,2.547,
474,4003.0,75.203,43.367,16.535,2.546,
475,4003.2,74.865,42.477,16.934,2.541,
476,4003.4,74.887,43.398,17.039,2.542,
477,4003.6,75.115,45.055,16.82,2.552,
478,4003.8,75.257,45.406,16.496,2.557,
479,4004.0,75.145,44.309,16.349,2.557,
480,4004.2,74.605,42.68,16.399,2.56,
481,4004.4,73.836,41.718,16.215,2.562,
482,4004.6,73.441,42.156,15.836,2.567,
483,4004.8,73.195,43.406,15.699,2.58,
484,4005.0,73.199,45.438,15.429,2.575,
485,4005.2,73.957,45.599,15.403,2.567,
486,4005.4,74.926,45.34,15.475,2.555,
487,4005.6,75.367,45.084,15.385,2.544,
488,4005.8,74.785,46.145,15.367,2.545,
489,4006.0,73.23,48.332,16.035,2.549,
490,4006.2,71.844,50.305,17.016,2.539,
491,4006.4,71.62,51.336,17.492,2.522,
492,4006.6,72.492,51.348,17.487,2.521,
493,4006.8,72.652,50.184,17.715,2.532,
494,4007.0,72.055,48.09,17.933,2.537,
495,4007.2,72.082,46.367,17.66,2.533,
496,4007.4,72.891,45.313,16.855,2.54,
497,4007.6,73.539,44.742,16.332,2.546,
498,4007.8,73.039,44.387,15.883,2.545,
499,4008.0,71.969,43.406,14.961,2.558,
500,4008.2,71.113,41.711,14.102,2.576,
501,4008.4,70.971,40.203,13.598,2.587,
502,4008.6,71.25,39.539,13.383,2.583,
503,4008.8,71.82,38.934,13.793,2.572,
504,4009.0,72.902,38.49,14.836,2.557,
505,4009.2,74.594,39.164,16.223,2.54,
506,4009.4,76.101,40.297,17.457,2.523,
507,4009.6,75.582,40.535,18.091,2.516,
508,4009.8,73.512,39.309,17.469,2.529,
509,4010.0,71.082,36.5,14.969,2.56,
510,4010.2,70.844,33.32,12.916,2.536,
511,4010.4,72.43,30.566,13.906,2.442,
512,4010.6,73.625,28.008,16.238,2.361,
513,4010.8,74.328,25.223,17.664,2.364,
514,4011.0,76.938,24.121,19.188,2.386,
515,4011.2,80.77,25.969,23.063,2.356,
516,4011.4,82.121,27.242,24.93,2.328,
517,4011.6,81.059,27.207,24.953,2.334,
518,4011.8,77.25,26.578,24.281,2.365,
519,4012.0,72.063,25.957,23.496,2.388,
520,4012.2,72.938,25.833,23.453,2.397,
521,4012.4,85.125,26.102,24.797,2.372,
522,4012.6,99.063,26.68,27.277,2.326,
523,4012.8,108.5,27.215,30.402,2.289,
524,4013.0,108.688,27.988,32.883,2.26,
525,4013.2,99.25,28.597,34.063,2.23,
526,4013.4,88.438,27.266,33.266,2.237,
527,4013.6,78.5,24.637,29.438,2.307,
528,4013.8,73.879,23.898,22.813,2.351,
529,4014.0,76.125,25.992,17.438,2.345,
530,4014.2,77.891,29.313,17.734,2.344,
531,4014.4,75.973,30.566,20.633,2.344,
532,4014.6,75.656,29.273,20.938,2.345,
533,4014.8,78.25,28.455,21.176,2.356,
534,4015.0,82.375,29.668,23.105,2.346,
535,4015.2,85.674,30.982,25.16,2.283,
536,4015.4,83.375,30.109,27.402,2.218,
537,4015.6,77.75,28.027,28.719,2.191,
538,4015.8,71.789,25.984,25.813,2.242,
539,4016.0,70.875,24.738,22.824,2.331,
540,4016.2,76.938,25.199,24.813,2.379,
541,4016.4,86.625,26.328,29.0,2.361,
542,4016.6,95.75,26.673,31.555,2.316,
543,4016.8,98.234,26.751,32.637,2.278,
544,4017.0,93.625,26.469,31.367,2.262,
545,4017.2,84.875,26.75,26.375,2.348,
546,4017.4,73.621,31.75,18.594,2.507,
547,4017.6,71.438,36.625,17.684,2.538,
548,4017.8,68.629,40.5,15.957,2.582,
549,4018.0,65.719,40.973,12.82,2.622,
550,4018.2,64.609,39.145,11.117,2.632,
551,4018.4,64.734,37.676,10.605,2.63,
552,4018.6,66.008,37.977,10.344,2.626,
553,4018.8,68.105,38.594,10.953,2.624,
554,4019.0,70.75,38.709,12.672,2.618,
555,4019.2,72.988,38.398,14.5,2.603,
556,4019.4,73.313,37.813,14.809,2.599,
557,4019.6,72.078,37.473,13.84,2.605,
558,4019.8,70.43,37.125,12.492,2.609,
559,4020.0,68.699,36.145,11.02,2.616,
560,4020.2,66.754,34.422,9.582,2.638,
561,4020.4,64.816,32.223,8.027,2.654,
562,4020.6,63.18,29.91,6.844,2.657,
563,4020.8,62.789,28.93,6.969,2.646,
564,4021.0,63.598,29.66,7.398,2.632,
565,4021.2,64.355,30.641,7.62,2.627,
566,4021.4,64.891,31.035,7.996,2.622,
567,4021.6,65.231,30.648,8.629,2.609,
568,4021.8,65.086,29.418,9.078,2.607,
569,4022.0,64.738,27.672,9.328,2.609,
570,4022.2,64.334,26.837,9.902,2.59,
571,4022.4,64.809,26.98,11.109,2.544,
572,4022.6,68.063,27.363,12.926,2.474,
573,4022.8,73.375,27.875,15.844,2.395,
574,4023.0,76.238,29.344,19.199,2.355,
575,4023.2,76.473,30.938,20.93,2.356,
576,4023.4,78.23,31.418,21.218,2.352,
577,4023.6,81.5,28.898,22.953,2.311,
578,4023.8,84.879,26.195,25.973,2.318,
579,4024.0,85.609,23.883,28.289,2.305,
580,4024.2,80.563,22.313,27.313,2.287,
581,4024.4,74.125,21.783,23.0,2.293,
582,4024.6,72.406,22.082,19.75,2.28,
583,4024.8,75.625,22.668,19.531,2.251,
584,4025.0,81.188,23.371,21.75,2.225,
585,4025.2,85.238,24.348,25.375,2.218,
586,4025.4,85.461,25.879,28.301,2.225,
587,4025.6,82.5,27.016,29.116,2.22,
588,4025.8,87.0,26.438,28.798,2.189,
589,4026.0,100.188,23.625,28.719,2.177,
590,4026.2,108.438,20.422,29.449,2.168,
591,4026.4,106.563,18.539,31.238,2.144,
592,4026.6,94.188,18.504,30.313,2.184,
593,4026.8,79.375,18.906,24.375,2.262,
594,4027.0,70.438,18.625,16.5,2.295,
595,4027.2,66.574,18.222,12.381,2.342,
596,4027.4,65.547,18.52,12.375,2.432,
597,4027.6,66.754,19.684,12.227,2.486,
598,4027.8,69.105,22.563,12.484,2.477,
599,4028.0,70.398,26.813,14.793,2.423,
600,4028.2,69.344,30.75,16.18,2.4,
