Unnamed: 0,DEPTH,DT,GR,NPHI,RHOB,COT
1,2130.09,81.846,27.663,34.9025,2.283,0.16
2,2130.2,81.594,28.074,34.759,2.287,
3,2130.24,81.5355,28.485,34.53,2.2845,
4,2130.4,81.477,29.071,34.301,2.282,
5,2130.55,81.811,29.311,34.3085,2.2875,
6,2130.6,82.145,29.319,34.316,2.293,
7,2130.7,82.4535,29.327,34.656,2.2905,
8,2130.8,82.762,29.2245,34.996,2.288,
9,2130.85,83.088,29.122,35.3435,2.287,
10,2131,83.414,28.711,35.691,2.286,
11,2131.16,83.3845,28.244,35.621,2.286,
12,2131.2,83.355,28.135,35.551,2.286,
13,2131.31,83.041,28.026,35.094,2.284,
14,2131.4,82.727,28.0655,34.637,2.282,
15,2131.46,82.4145,28.105,34.1935,2.2835,
16,2131.6,82.102,28.2975,33.75,2.285,
17,2131.61,81.8896666666667,28.49,33.74,2.28366666666667,
18,2131.77,81.6773333333333,29.089,33.73,2.28233333333333,
19,2131.8,81.465,29.3115,33.72,2.281,
20,2131.92,81.2395,29.534,33.7115,2.2695,
21,2132,81.014,29.6015,33.703,2.258,
22,2132.07,80.9005,29.669,33.3475,2.2535,
23,2132.2,80.787,29.574,32.992,2.249,
24,2132.22,80.6913333333333,29.479,32.707,2.26066666666667,
25,2132.38,80.5956666666667,29.09,32.422,2.27233333333333,
26,2132.4,80.5,29.18,32.137,2.284,
27,2132.53,80.17,29.27,31.873,2.304,
28,2132.6,79.84,29.3865,31.609,2.324,
29,2132.68,79.5275,29.503,31.4875,2.3355,
30,2132.8,79.215,29.5625,31.366,2.347,
31,2132.83,79.2723333333333,29.622,31.3716666666667,2.351,
32,2132.99,79.3296666666667,29.475,31.3773333333333,2.355,0.15
33,2133,79.387,29.659,31.383,2.359,
34,2133.14,79.797,29.843,31.421,2.3615,
35,2133.2,80.207,30.111,31.459,2.364,
36,2133.29,80.485,30.379,31.6555,2.364,
37,2133.4,80.763,30.659,31.852,2.364,
38,2133.44,80.683,30.939,32.2835,2.366,
39,2133.6,80.603,31.374,32.715,2.368,
40,2133.75,80.5355,31.785,33.0105,2.3685,
41,2133.8,80.468,31.8605,33.306,2.369,
42,2133.9,80.378,31.936,33.4765,2.367,
43,2134,80.288,31.886,33.647,2.365,
44,2134.05,79.98,31.836,33.8115,2.3595,
45,2134.2,79.672,31.695,33.976,2.354,
46,2134.21,79.6303333333333,31.554,34.063,2.35033333333333,
47,2134.36,79.5886666666667,31.86,34.15,2.34666666666667,
48,2134.4,79.547,32.3275,34.237,2.343,
49,2134.51,80.0745,32.795,34.2795,2.3425,
50,2134.6,80.602,33.443,34.322,2.342,
51,2134.66,81.4535,34.091,34.2355,2.3405,
52,2134.8,82.305,34.807,34.149,2.339,
53,2134.81,83.0406666666667,35.523,34.0273333333333,2.33433333333333,
54,2134.97,83.7763333333333,36.529,33.9056666666667,2.32966666666667,
55,2135,84.512,36.6815,33.784,2.325,
56,2135.12,85.721,36.834,33.935,2.319,
57,2135.2,86.93,36.781,34.086,2.313,
58,2135.27,87.6485,36.728,34.869,2.307,
59,2135.4,88.367,36.553,35.652,2.301,
60,2135.42,88.556,36.378,36.1603333333333,2.295,
61,2135.58,88.745,36.041,36.6686666666667,2.289,
62,2135.6,88.934,35.9005,37.177,2.283,
63,2135.73,89.181,35.76,37.35,2.2645,
64,2135.8,89.428,35.6025,37.523,2.246,
65,2135.88,89.39,35.445,38.236,2.2255,
66,2136,89.352,35.288,38.949,2.205,0.12
67,2136.03,89.65,35.131,39.699,2.19433333333333,
68,2136.19,89.948,34.92,40.449,2.18366666666667,
69,2136.2,90.246,34.807,41.199,2.173,
70,2136.34,91.2595,34.694,41.789,2.161,
71,2136.4,92.273,34.46,42.379,2.149,
72,2136.49,94.238,34.226,42.4245,2.1415,
73,2136.6,96.203,33.8935,42.47,2.134,
74,2136.64,99.0505,33.561,41.927,2.1295,
75,2136.8,101.898,32.78,41.384,2.125,
76,2136.95,103.0625,32.105,40.446,2.137,
77,2137,104.227,31.755,39.508,2.149,
78,2137.1,102.59,31.405,38.711,2.161,
79,2137.2,100.953,31.0135,37.914,2.173,
80,2137.25,98.34,30.622,37.297,2.1795,
81,2137.4,95.727,30.177,36.68,2.186,
82,2137.41,94.9223333333333,29.732,36.59,2.19233333333333,
83,2137.56,94.1176666666667,29.016,36.5,2.19866666666667,
84,2137.6,93.313,28.9555,36.41,2.205,
85,2137.71,92.7345,28.895,36.838,2.2015,
86,2137.8,92.156,29.028,37.266,2.198,
87,2137.86,91.754,29.161,37.875,2.198,
88,2138,91.352,29.3895,38.484,2.198,
89,2138.02,90.5823333333333,29.618,38.5636666666667,2.20333333333333,
90,2138.17,89.8126666666667,29.718,38.6433333333333,2.20866666666667,
91,2138.2,89.043,29.62,38.723,2.214,
92,2138.32,88.0935,29.522,38.2835,2.211,
93,2138.4,87.144,29.333,37.844,2.208,
94,2138.47,88.826,29.144,37.2425,2.197,
95,2138.6,90.508,28.864,36.641,2.186,
96,2138.62,92.724,28.584,36.1343333333333,2.18266666666667,
97,2138.78,94.94,27.73,35.6276666666667,2.17933333333333,
98,2138.8,97.156,27.17,35.121,2.176,
99,2138.93,97.752,26.61,33.59,2.198,0.1
100,2139,98.348,26.1055,32.059,2.22,
101,2139.08,94.8305,25.601,30.5355,2.263,
102,2139.2,91.313,25.2675,29.012,2.306,
103,2139.23,88.2433333333333,24.934,28.8283333333333,2.317,
104,2139.39,85.1736666666667,24.934,28.6446666666667,2.328,
105,2139.4,82.104,25.4275,28.461,2.339,
106,2139.54,83.2085,25.921,29.844,2.31,
107,2139.6,84.313,26.6165,31.227,2.281,
108,2139.69,87.557,27.312,32.893,2.2485,
109,2139.8,90.801,28.074,34.559,2.216,
110,2139.84,92.6425,28.836,35.6135,2.204,
111,2140,94.484,30.208,36.668,2.192,
112,2140.15,94.2945,30.726,36.743,2.2085,
113,2140.2,94.105,30.6595,36.818,2.225,
114,2140.3,92.8375,30.593,36.9695,2.2315,
115,2140.4,91.57,30.2445,37.121,2.238,
116,2140.45,90.42,29.896,37.508,2.2375,
117,2140.6,89.27,29.33,37.895,2.237,
118,2140.61,88.921,28.764,37.7073333333333,2.24566666666667,
119,2140.76,88.572,27.791,37.5196666666667,2.25433333333333,
120,2140.8,88.223,27.4555,37.332,2.263,
121,2140.91,87.838,27.12,36.418,2.2725,
122,2141,87.453,26.884,35.504,2.282,
123,2141.06,87.0605,26.648,34.803,2.2855,
124,2141.2,86.668,26.4785,34.102,2.289,
