Unnamed: 0,DEPTH,DT,GR,NPHI,RHOB,COT
5,5199.13,69.82440000000001,66.25666666666666,12.982,2.583333333333333,
6,5199.16,69.7578,67.29883333333333,12.969,2.583,
7,5199.21,69.69120000000001,68.341,12.956,2.5810000000000004,
8,5199.22,69.6246,68.7346,12.943,2.579,
9,5199.27,69.558,69.12819999999999,12.93,2.577,
10,5199.28,69.48066666666668,69.5218,12.917,2.5775,
11,5199.32,69.40333333333334,69.91539999999999,13.2306,2.578,
12,5199.36,69.326,70.309,13.5442,2.5795,
13,5199.37,69.24866666666667,71.2576,13.8578,2.581,
14,5199.42,69.17133333333334,72.2062,14.1714,2.586,
15,5199.43,69.094,73.15480000000001,14.485,2.589,
16,5199.47,69.0462,74.10340000000001,15.0584,2.592,
17,5199.51,68.9984,75.052,15.6318,2.5955000000000004,
18,5199.52,68.9506,75.84440000000001,16.2052,2.599,
19,5199.57,68.9028,76.63680000000001,16.7786,2.606,
20,5199.58,68.855,77.4292,17.352,2.609,
21,5199.62,68.8634,78.2216,17.551333333333332,2.612,
22,5199.66,68.87180000000001,79.014,17.750666666666667,2.6145,
23,5199.67,68.8802,78.49316666666667,17.95,2.617,
24,5199.72,68.88860000000001,77.97233333333332,18.14933333333333,2.619,
25,5199.73,68.897,77.4515,18.348666666666663,2.6183333333333336,
26,5199.74,68.89325000000001,76.93066666666667,18.548,2.6176666666666666,
27,5199.77,68.8895,76.40983333333332,18.7695,2.617,
28,5199.82,68.88575,75.889,18.991,2.61,
29,5199.88,68.882,75.72725,19.2125,2.604,
30,5199.89,68.84766666666667,75.5655,19.434,2.6015,
31,5199.93,68.81333333333333,75.40375,18.8134,2.599,
32,5199.97,68.779,75.242,18.1928,2.5955000000000004,
33,5199.98,68.74466666666667,75.3896,17.5722,2.592,
34,5200.03,68.71033333333334,75.5372,16.9516,2.586,
35,5200.04,68.676,75.68480000000001,16.331,2.5825,
36,5200.08,68.617,75.8324,16.0904,2.579,
37,5200.12,68.558,75.98,15.8498,2.577,
38,5200.13,68.499,76.0836,15.6092,2.575,
39,5200.18,68.44,76.1872,15.3686,2.577,
40,5200.19,68.381,76.2908,15.128,2.579,
41,5200.23,68.3452,76.3944,14.6348,2.581,
42,5200.27,68.3094,76.498,14.1416,2.584,
43,5200.28,68.2736,74.9888,13.6484,2.587,
44,5200.33,68.2378,73.4796,13.1552,2.589,
45,5200.34,68.202,71.9704,12.662,2.589,
46,5200.38,68.19066666666667,70.4612,12.302,2.589,
47,5200.43,68.17933333333333,68.952,11.942,2.591,
48,5200.49,68.168,66.06125,11.582,2.592,
49,5200.5,68.1785,63.1705,11.222,2.5925,
50,5200.54,68.18900000000001,60.27975,11.4012,2.593,
51,5200.58,68.1995,57.389,11.5804,2.591,
52,5200.59,68.21,57.4752,11.7596,2.589,
53,5200.64,68.2205,57.5614,11.9388,2.578,
54,5200.65,68.231,57.6476,12.118,2.572,
55,5200.69,68.31739999999999,57.7338,12.668,2.566,
56,5200.73,68.40379999999999,57.82,13.218,2.5595,
57,5200.74,68.4902,59.352,13.768,2.553,
58,5200.79,68.5766,60.884,14.318,2.542,
59,5200.8,68.663,62.416,14.868,2.5385,
60,5200.84,68.7494,63.948,15.6836,2.535,
61,5200.88,68.83579999999999,65.48,16.499200000000002,2.5315000000000003,
62,5200.89,68.9222,66.79260000000001,17.3148,2.528,
63,5200.94,69.0086,68.10520000000001,18.1304,2.523,
64,5200.95,69.095,69.4178,18.946,2.5205,
65,5200.99,69.14275,70.7304,19.4706,2.518,
66,5201.04,69.1905,72.043,19.9952,2.517,
67,5201.09,69.23825,71.91380000000001,20.5198,2.518,
68,5201.1,69.286,71.78460000000001,21.0444,2.5196666666666667,
69,5201.11,69.3714,71.6554,21.569,2.521333333333333,
70,5201.15,69.4568,71.5262,21.8356,2.523,
71,5201.19,69.5422,71.397,22.1022,2.526,
72,5201.2,69.6276,71.1716,22.3688,2.529,
73,5201.25,69.713,70.9462,22.6354,2.532,
74,5201.26,69.771,70.7208,22.902,2.5325,
75,5201.3,69.829,70.4954,23.014,2.533,
76,5201.34,69.887,70.27,23.126,2.5325,
77,5201.35,69.94500000000001,69.9692,23.238,2.532,
78,5201.4,70.003,69.6684,23.35,2.53,
79,5201.41,70.061,69.3676,23.462,2.5285,
80,5201.45,70.1196,69.0668,23.1524,2.527,
81,5201.49,70.1782,68.766,22.8428,2.5255,
82,5201.5,70.2368,67.5586,22.5332,2.524,
83,5201.55,70.2954,66.3512,22.2236,2.522,
84,5201.56,70.354,65.1438,21.914,2.521,
85,5201.6,70.4436,63.9364,21.4295,2.52,
86,5201.64,70.53320000000001,62.729,20.945,2.52,
87,5201.65,70.6228,60.989666666666665,20.460500000000003,2.52,
88,5201.7,70.7124,59.25033333333333,19.976000000000003,2.521,
89,5201.71,70.802,57.511,19.4915,2.522,
90,5201.72,70.85600000000001,55.77166666666667,19.007,2.523,
91,5201.76,70.91000000000001,54.03233333333333,18.451600000000003,2.524,
92,5201.8,70.964,52.293,17.8962,2.526,
93,5201.81,71.018,51.2306,17.3408,2.528,
94,5201.86,71.072,50.1682,16.7854,2.534,
95,5201.87,71.12950000000001,49.1058,16.23,2.537,
96,5201.91,71.187,48.0434,16.060200000000002,2.54,
97,5201.95,71.2445,46.981,15.8904,2.5425,
98,5201.96,71.302,46.5068,15.7206,2.545,
99,5202.01,71.3595,46.0326,15.5508,2.547,
100,5202.02,71.417,45.5584,15.381,2.5475000000000003,
101,5202.06,71.427,45.0842,15.219,2.548,
102,5202.1,71.437,44.61,15.057,2.547,
103,5202.11,71.447,45.4956,14.895,2.546,
104,5202.16,71.457,46.3812,14.733,2.543,
105,5202.17,71.467,47.2668,14.571,2.5415,
106,5202.21,71.343,48.1524,14.647166666666667,2.54,
107,5202.25,71.219,49.038,14.723333333333333,2.539,
108,5202.26,71.095,50.116,14.7995,2.538,
109,5202.31,70.97099999999999,51.194,14.875666666666667,2.532,
110,5202.32,70.847,52.272,14.951833333333331,2.530666666666667,
111,5202.33,70.6732,53.35,15.028,2.529333333333333,
112,5202.36,70.4994,54.428,15.2454,2.528,
113,5202.41,70.3256,55.506,15.4628,2.528,
114,5202.42,70.1518,57.211,15.6802,2.528,
115,5202.47,69.978,58.916,15.8976,2.531,
116,5202.48,69.84466666666665,60.621,16.115,2.535,
117,5202.52,69.71133333333333,62.32600000000001,16.552,2.539,
118,5202.56,69.578,64.031,16.989,2.5445,
119,5202.57,69.44466666666666,64.1276,17.426,2.55,
120,5202.62,69.31133333333332,64.2242,17.863,2.559,
121,5202.63,69.178,64.3208,18.3,2.5655,
122,5202.67,69.02499999999999,64.4174,18.033,2.572,
123,5202.71,68.872,64.514,17.766000000000002,2.5775,
124,5202.72,68.719,63.781,17.499,2.583,
125,5202.77,68.566,63.048,17.232,2.596,
126,5202.78,68.413,62.315,16.965,2.6025,
127,5202.82,68.25,61.582,16.499666666666666,2.609,
128,5202.86,68.087,60.849,16.034333333333333,2.616,
129,5202.87,67.92399999999999,60.19283333333333,15.569,2.623,
130,5202.92,67.761,59.53666666666666,15.103666666666667,2.632,
131,5202.93,67.598,58.8805,14.638333333333334,2.6333333333333333,
132,5202.94,67.4058,58.22433333333333,14.173,2.634666666666667,
133,5202.97,67.2136,57.56816666666666,13.6974,2.636,
134,5203.02,67.0214,56.912,13.2218,2.636,
135,5203.03,66.8292,55.8912,12.7462,2.636,
136,5203.08,66.637,54.8704,12.2706,2.637,
137,5203.09,66.457,53.8496,11.795,2.635,
138,5203.13,66.277,52.8288,11.7006,2.633,
139,5203.17,66.09700000000001,51.808,11.6062,2.6315,
140,5203.18,65.917,50.6006,11.5118,2.63,
141,5203.23,65.737,49.3932,11.4174,2.626,
142,5203.24,65.557,48.1858,11.323,2.6235,
143,5203.28,65.4136,46.9784,11.1838,2.621,
144,5203.32,65.2702,45.771,11.0446,2.6155,
145,5203.33,65.1268,46.017,10.9054,2.61,
146,5203.38,64.9834,46.263,10.7662,2.599,
147,5203.39,64.84,46.509,10.627,2.5935,
148,5203.43,64.7752,46.755,10.887666666666668,2.588,
149,5203.47,64.7104,47.001,11.148333333333332,2.5855,
150,5203.48,64.6456,49.013333333333335,11.409,2.583,
151,5203.53,64.58080000000001,51.025666666666666,11.669666666666668,2.581,
152,5203.54,64.516,53.038,11.930333333333332,2.5803333333333334,
153,5203.55,64.46100000000001,55.05033333333333,12.191,2.5796666666666668,
154,5203.58,64.406,57.06266666666667,13.02425,2.579,
155,5203.63,64.351,59.075,13.8575,2.578,
156,5203.69,64.296,61.115,14.69075,2.575,
157,5203.7,64.25433333333334,63.155,15.524,2.574,
158,5203.74,64.21266666666668,65.195,16.1326,2.573,
159,5203.78,64.171,67.235,16.7412,2.573,
160,5203.79,64.12933333333334,65.5874,17.3498,2.573,
161,5203.84,64.08766666666668,63.9398,17.9584,2.572,
162,5203.85,64.046,62.2922,18.567,2.5715000000000003,
163,5203.89,63.985200000000006,60.6446,18.4028,2.571,
164,5203.93,63.924400000000006,58.997,18.2386,2.5685,
165,5203.94,63.8636,57.7034,18.0744,2.566,
166,5203.99,63.8028,56.4098,17.9102,2.561,
167,5204.0,63.742,55.1162,17.746,2.5605,
168,5204.04,63.6808,53.8226,17.1604,2.56,
169,5204.08,63.6196,52.529,16.5748,2.561,
170,5204.09,63.5584,52.147400000000005,15.9892,2.562,
171,5204.14,63.4972,51.765800000000006,15.4036,2.565,
172,5204.15,63.436,51.3842,14.818,2.568,
173,5204.19,63.30533333333333,51.0026,14.15625,2.571,
174,5204.24,63.17466666666667,50.621,13.4945,2.579,
175,5204.3,63.044,52.127,12.83275,2.592,
176,5204.31,62.97016666666666,53.633,12.171,2.5995,
177,5204.35,62.89633333333333,55.139,11.9736,2.607,
178,5204.39,62.8225,56.645,11.7762,2.612,
179,5204.4,62.748666666666665,57.3782,11.5788,2.617,
180,5204.45,62.67483333333333,58.1114,11.3814,2.624,
181,5204.46,62.601,58.8446,11.184,2.625,
182,5204.5,62.3912,59.5778,11.0286,2.626,
183,5204.54,62.1814,60.311,10.8732,2.6265,
184,5204.55,61.9716,60.0528,10.7178,2.627,
185,5204.6,61.7618,59.7946,10.5624,2.627,
186,5204.61,61.552,59.5364,10.407,2.627,
