Unnamed: 0,DEPTH,DT,GR,NPHI,RHOB,COT
2,5659.07,71.406,80.6255,7.966,2.478,
3,5659.12,70.8123333333333,79.466,7.937,2.483,
4,5659.17,70.2186666666667,78.3065,7.908,2.488,
5,5659.22,69.625,77.147,7.879,2.489,
6,5659.27,68.885,74.715,8.081,2.486,
7,5659.32,68.145,72.283,8.283,2.48,
8,5659.37,67.405,69.851,8.485,2.472,
9,5659.42,66.8176666666667,67.8463333333333,8.767,2.464,
10,5659.47,66.2303333333333,65.8416666666667,9.049,2.457,
11,5659.52,65.643,63.837,9.331,2.455,
12,5659.57,65.101,61.89,9.47333333333333,2.456,
13,5659.62,64.559,59.943,9.61566666666667,2.46,
14,5659.67,64.017,57.996,9.758,2.466,
15,5659.72,63.7386666666667,56.5186666666667,9.69766666666667,2.471,
16,5659.78,63.4603333333333,55.0413333333333,9.63733333333333,2.48,
17,5659.83,63.182,53.564,9.577,2.49,
18,5659.88,62.6083333333333,51.8846666666667,9.323,2.503,
19,5659.93,62.0346666666667,50.2053333333333,9.069,2.517,
20,5659.98,61.461,48.526,8.815,2.53,
21,5660.03,60.8546666666667,47.8113333333333,8.37533333333333,2.542,
22,5660.08,60.2483333333333,47.0966666666667,7.93566666666667,2.552,
23,5660.13,59.642,46.382,7.496,2.562,
24,5660.18,59.4723333333333,46.3046666666667,6.93666666666667,2.57,
25,5660.23,59.3026666666667,46.2273333333333,6.37733333333333,2.577,
26,5660.28,59.133,46.15,5.818,2.582,
27,5660.33,59.2713333333333,45.9126666666667,5.35766666666667,2.585,
28,5660.39,59.4096666666667,45.6753333333333,4.89733333333333,2.586,
29,5660.44,59.548,45.438,4.437,2.586,
30,5660.49,59.6036666666667,44.8076666666667,4.15766666666667,2.586,
31,5660.54,59.6593333333333,44.1773333333333,3.87833333333333,2.587,
32,5660.59,59.715,43.547,3.599,2.589,
33,5660.64,59.646,42.371,3.63866666666667,2.592,
34,5660.69,59.577,41.195,3.67833333333333,2.595,
35,5660.74,59.508,40.019,3.718,2.597,
36,5660.79,59.1186666666667,39.9103333333333,3.702,2.597,
37,5660.84,58.7293333333333,39.8016666666667,3.686,2.596,
38,5660.89,58.34,39.693,3.67,2.593,
39,5660.94,58.056,39.905,3.787,2.589,
40,5660.99,57.772,40.117,3.904,2.584,
41,5661.04,57.488,40.329,4.021,2.58,
42,5661.05,57.204,41.1485,4.232,2.576,
43,5661.1,57.2386666666667,41.968,4.443,2.567,
44,5661.15,57.2733333333333,42.7875,4.654,2.557,
45,5661.2,57.308,43.607,4.865,2.548,
46,5661.25,57.85,45.258,5.27666666666667,2.541,
47,5661.3,58.392,46.909,5.68833333333333,2.536,
48,5661.35,58.934,48.56,6.1,2.532,
49,5661.4,59.2263333333333,48.734,6.19133333333333,2.53,
50,5661.45,59.5186666666667,48.908,6.28266666666667,2.527,
51,5661.5,59.811,49.082,6.374,2.523,
52,5661.55,59.767,47.97,6.452,2.519,
53,5661.6,59.723,46.858,6.53,2.514,
54,5661.65,59.679,45.746,6.608,2.5115,
55,5661.66,59.635,44.0955,6.66325,2.509,
56,5661.71,59.6056666666667,42.445,6.7185,2.513,
57,5661.76,59.5763333333333,40.7945,6.77375,2.516,
58,5661.81,59.547,39.144,6.829,2.519,
59,5661.86,60.6376666666667,38.163,6.985,2.517,
60,5661.91,61.7283333333333,37.182,7.141,2.513,
61,5661.96,62.819,36.201,7.297,2.511,
62,5662.01,63.2633333333333,36.9513333333333,7.155,2.512,
63,5662.06,63.7076666666667,37.7016666666667,7.013,2.515,
64,5662.11,64.152,38.452,6.871,2.519,
65,5662.16,63.8365,39.0523333333333,6.98433333333333,2.513,
66,5662.21,63.521,39.6526666666667,7.09766666666667,2.507,
67,5662.26,63.2055,40.253,7.211,2.5,
68,5662.27,62.89,41.28075,7.49825,2.5,
69,5662.32,62.7726666666667,42.3085,7.7855,2.5,
70,5662.37,62.6553333333333,43.33625,8.07275,2.501,
71,5662.42,62.538,44.364,8.36,2.5,
72,5662.47,63.1263333333333,44.321,8.676,2.498,
73,5662.52,63.7146666666667,44.278,8.992,2.498,
74,5662.57,64.303,44.235,9.308,2.499,
75,5662.62,64.176,44.676,9.01766666666667,2.504,
76,5662.67,64.049,45.117,8.72733333333333,2.51,
77,5662.72,63.922,45.558,8.437,2.516,
