DEPTH,COT_anl,COT,CAL,GR,NPHI,PE,RHOB,DT,RT
4949,,0.261,9.62,40.65,26.29,4.11,2.71,48.33,74.84
4954.8,,1.062,14.78,30.99,15.64,3.26,2.48,106.28,64.85
4957.7,,0.14,11.64,72.78,17.95,5.58,2.35,70.26,33.2
4960.6,,1.499,10.91,36.18,15.71,4.37,2.64,62.37,18.53
4963.6,,0.409,7.03,103.51,17.34,4.18,2.4,65.47,77.86
4969.4,,0.381,9.5,42.06,-0.56,4.79,2.46,87.18,44.24
4972.3,,0.192,12.68,54.82,9.73,4.57,2.65,64.34,126.45
4975.2,,0.585,8.03,31.08,14.97,3.83,2.53,87.01,40.46
4978.1,,0.445,13.45,18.3,13.78,5.55,2.5,51.95,93.15
4981,,0.948,13.34,83.84,22.64,3.76,2.57,80.47,69.38
4983.9,,0.148,8.72,80.75,15.32,3.32,2.56,61.64,60.87
4986.8,,0.111,10.33,48.21,22.22,5.52,2.82,72.63,9.93
4989.8,,0.463,11.94,117.53,26.29,2.24,2.49,88.88,28.21
4992.7,,0.765,10.35,45.57,18.58,5.57,2.51,69.36,33.3
4995.6,,0.158,12.83,45.54,17.42,5.3,2.6,59.42,17.96
4998.5,,2.132,13.86,49.55,33.01,5.59,2.47,70.76,15.83
5004.3,,0.385,8.15,35.47,21.85,4.29,2.4,84.57,153.15
5007.2,,0.697,12,77.58,23.04,5.64,2.58,76.07,194.95
5010.1,,0.162,10.58,21.94,10.17,4.34,2.24,91.86,94.19
5013,,0.541,8.14,23.07,23.29,6.38,2.58,72.58,50.53
5016,,0.191,9.92,27.27,8.48,3.25,2.45,65.05,28.51
5018.9,,0.393,10.83,39.37,6.77,4.01,2.56,68.27,25.69
5021.8,,0.138,9.71,33.5,24.82,3.91,2.51,47.18,205.3
5024.7,,0.484,8.02,38.74,11.58,4.59,2.41,76.67,129.08
5027.6,,0.137,11.25,31.85,27,4.06,2.33,60.9,66.62
5030.5,,0.246,10.65,75.36,20.11,5.44,2.34,80.01,106.21
5033.4,,0.325,8.62,23.63,17.59,4.4,2.56,84.37,32.88
5039.2,,5.438,12.57,70.59,15.95,3.68,2.44,53.11,74.01
5042.2,,0.393,12.56,76.84,26.66,5.45,2.43,71.96,368.92
5045.1,,0.445,13.31,122.44,12.41,3.62,2.48,95.52,59.07
5048,,1.076,9.24,15.73,-0.78,4.49,2.26,99.67,415.13
5050.9,,0.444,10.85,27.61,5.96,6.11,2.41,89.31,86.18
5053.8,,4.862,8.91,31.45,14.52,5.01,2.3,128.03,58.16
5056.7,,0.653,9.9,81.83,14.88,4.38,2.46,62.53,424.65
5059.6,,0.043,13.01,70.98,40.77,3.4,2.63,68.92,14.66
5062.5,,0.152,12.25,75.84,8.46,4.71,2.45,60.06,15.06
5065.4,,1.195,10.39,26.06,22.69,3.12,2.3,69.56,525.91
5071.3,,0.881,10.13,39.77,30.88,4.15,2.46,56.86,162.72
5074.2,,0.426,15.4,63.07,17.49,3.88,2.49,81.25,33.27
5077.1,,0.975,9.47,74.72,17.61,4.98,2.69,72.73,31.15
5080,,1.08,11.94,142.2,12.24,2.75,2.53,49.23,17.83
5082.9,,1.153,9.27,73.01,8.39,3.37,2.56,50.58,4.37
5085.8,,0.495,9.95,47.72,26.18,3.02,2.66,71.46,32.94
5088.7,,0.081,7.25,29.51,14.04,5.47,2.61,59.44,12.49
5091.6,,0.411,12.64,52.52,10.76,3.81,2.42,106.15,78.76
5094.5,,1.961,12.29,22.78,11.1,3.19,2.69,74.18,14.53
5097.5,,0.745,8.6,51.13,20.9,9.33,2.34,45.81,164.4
5100.4,,0.636,12.24,11.2,13.58,4.86,2.48,62.7,146.63
5103.3,,1.547,10.26,25.31,19.97,4.01,2.41,50.75,0
5106.2,,0.241,11.57,46.21,17.46,3.3,2.49,82.11,47.69
5109.1,,1.495,12.67,167.56,9.11,4.66,2.36,80.33,7.47
5112,,0.197,10.35,24.87,18.14,3.59,2.62,64.72,19.08
5117.8,,0.509,9.92,41.55,29.79,4.9,2.73,83.57,215.09
5120.7,,0.174,15.57,132.07,22.69,6.78,2.68,59.58,20.3
5123.7,,1.022,8.72,118.15,29.99,7.52,2.45,48.24,14.59
5126.6,,0.273,12.12,46.03,16.15,3.46,2.54,53.59,28.31
5129.5,,1.041,9.86,42.46,27.9,4.8,2.37,75.61,87.8
5132.4,,0.402,9.43,12.2,11.1,4.34,2.47,83.07,24.43
5135.3,,0.141,9.68,29.27,17.76,4.29,2.57,99.77,20.5
5141.1,,1.129,15.54,69.6,12.35,5.56,2.63,57.45,14.07
5144,,0.932,9.49,29.74,34.21,4.01,2.43,86.7,55.32
5146.9,,0.843,11.62,20.67,14.18,3.92,2.46,62.59,744.36
5149.9,,0.545,10.87,95.11,24.93,3.82,3.02,84.64,19.69
5152.8,,0.027,11.79,92.04,2.13,5.73,2.44,76.96,108.5
5155.7,,0.141,14.74,85.44,12.38,2.4,2.71,62.25,142.4
5158.6,,0.285,7.6,41.71,29.7,5.75,2.33,63.87,105.16
5161.5,,0.467,12.14,36.51,11.29,5.77,2.47,61.36,83.14
5164.4,,0.355,10.69,72.05,10.82,2.83,2.55,67.85,14.81
5167.3,,0.508,7.5,45.12,27.24,3.03,2.62,75.94,33.54
5170.2,,0.801,10.07,26.27,19.96,3.59,2.41,90.88,51.48
5173.1,,0.536,11.06,68.26,22.06,3.88,2.47,64.49,0
5179,,0.423,8.6,39.92,23.75,5.3,2.54,86.07,77.14
5181.9,,0.426,11.7,21.02,10.18,4.06,2.59,60.44,81.04
5184.8,,0.708,15.22,61.48,2.35,3.48,2.32,99.85,37.45
5187.7,,0.684,10.82,33.08,27.67,4.02,2.65,53.86,8.76
5190.6,,0.37,11.44,43.55,9.08,5.83,2.33,78.3,122.64
5193.5,,0.552,12.06,59.98,14.12,3.05,2.49,70.55,14.96
5196.4,,0.315,10.27,53.97,0.19,9,2.84,81.89,0
5199.3,,1.489,15.02,63.88,26.88,4.79,2.65,93.81,127.97
5202.3,,1.395,15.52,55.01,17.44,4.59,2.51,46.97,9.01
5205.2,,0.192,8.46,45.38,7.87,5.8,2.37,81.71,125.32
5208.1,,0.635,13.11,33.55,16.61,4.23,2.59,71.24,361.1
5211,,1.815,8.9,88.93,8.78,5.9,2.31,55.3,5.86
5213.9,,0.218,14.52,47.32,12.27,4.28,2.43,49.6,131.7
5216.8,,2.077,11.27,107.03,10.63,3.79,2.49,61.45,608.1
5219.7,,0.673,13.24,22.52,16.42,2.75,2.55,72.46,24.45
5225.5,,0.189,14.39,48.33,22.15,3.8,2.52,68.32,40.71
5228.5,,0.062,10.42,37.66,-0.75,4.1,2.5,57.62,4.79
5231.4,,0.328,10.81,39.91,14.8,4.97,2.72,91.56,112.46
5234.3,,2.208,10.03,34.36,18.92,4.97,2.59,56.47,122.96
5237.2,,4.684,10.99,48.17,22.88,4.74,2.34,90.66,18.69
5240.1,,1.465,11.26,46.55,18.68,4.93,2.45,108.21,168.19
5243,,2.741,19.67,22.44,16.59,6.18,2.75,58.65,249.71
5245.9,,0.771,15.77,83.12,25.18,3.39,2.52,93.45,1424.1
5248.8,,0.256,11.6,31.24,32.61,5.67,2.48,75.82,10.85
5251.7,,1.949,10.7,29.17,17.04,5.68,2.6,85.29,82.75
5254.7,,0.797,10.93,27.58,14.09,3.85,2.37,59.38,1036.54
5257.6,,0.55,11.93,33.91,4.23,4.28,2.56,67.74,37.8
5260.5,,0.192,8.5,58.79,22.03,4.17,2.5,90.78,167.8
5263.4,,0.765,10.57,43.77,12.63,4.41,2.44,109.02,45.92
5269.2,,0.083,14.04,41.38,5.42,4.01,2.48,69.95,70.37
5272.1,,1.647,8.82,23.01,30.19,3.93,2.43,71.69,90.24
5275,,2.467,13.37,45.98,17.63,3.11,2.59,81.47,941.86
5277.9,,0.1,10.73,37.46,19.15,3.31,2.69,53.37,55.7
5280.8,,0.417,14.91,30.75,15.59,3.85,2.4,90.49,13.27
5283.8,,0.307,9.05,83.31,42.98,3.57,2.46,101.49,233.31
5286.7,,0.219,9.38,98.87,32.02,4.4,2.53,62.9,13.8
5289.6,,0.069,9.5,46.4,13.06,3.65,2.4,58.5,50.63
5292.5,,0.279,8.08,133.95,7.44,4.95,2.49,54.93,22.97
5295.4,,0.66,9.12,62.7,10.28,4.87,2.42,64.39,546.6
5298.3,,0.128,8.31,19.28,6.8,6.08,2.46,50.84,216.35
5301.2,,0.446,13.47,50.6,11.7,4.07,2.68,76.73,378.13
5304.1,,1.813,15.62,41.72,14.85,3.67,2.5,67.19,74.98
5307,,0.065,10.71,46.89,1.76,5.59,2.58,76.87,26.14
5310,,0.085,12.32,42.97,17.19,4.62,2.44,58.21,53.54
5312.9,,0.834,12.8,44.12,18.56,4.52,2.33,57.71,80.38
5318.7,,0.155,9.36,38.84,13.3,6.6,2.4,87.61,63.06
5321.6,,0.429,13.53,64.47,23.02,4.48,2.57,74.56,86.32
5324.5,,0.314,10.69,33.72,9.47,5.07,2.53,63.76,12.51
5327.4,,0.227,9.61,44.7,15.99,2.57,2.61,87.91,24.14
5330.3,,0.178,18.89,58.61,11.3,3.43,2.44,66.05,64.4
5333.2,,0.118,7.15,52.94,24.46,4.01,2.47,61.43,71.8
5336.2,,0.491,10.35,68.06,8.97,3.16,2.53,46.89,129.86
5339.1,,0.248,9.68,81.58,10,4.72,2.51,77.51,2.9
5342,,1.611,11.92,52.33,20.61,4.02,2.3,79.07,34.07
5344.9,,1.875,8.92,37.64,4.85,4.12,2.58,69.32,25.23
5347.8,,0.097,11.02,30.55,25.86,5.34,2.5,102.56,25.79
5350.7,,0.543,13.21,45.92,15.65,4.84,2.48,49.14,63.58
5353.6,,0.119,8.42,66.85,15.8,5.81,2.37,67.49,273.37
5356.5,,0.296,6.61,33.89,0,3.99,2.54,49.78,12.95
5359.4,,1.309,12.64,90.15,12.42,7.78,2.51,93.36,146.59
5362.4,,0.179,10.78,68.14,22.88,3.99,2.47,98.99,4.94
5368.2,,2.624,8.56,94.62,1.23,2.78,2.81,74.78,33.82
5371.1,,0.07,12.53,43.92,10.73,5.01,2.21,113.09,0
5374,,11.496,10.23,78.64,24.1,2.74,2.79,69.2,35.7
5376.9,,0.069,9.18,23.06,10.86,4.66,2.68,54.63,67.11
5379.8,,0.748,9.31,17.13,10.47,4.17,2.44,62.13,144.38
5382.7,,0.424,12.31,45.13,23.73,3.59,2.31,60.06,22.46
5385.6,,0.146,9.86,80.58,25.94,5.59,2.34,96.43,71.81
5388.6,,0.847,12.11,30.21,11.6,4.96,2.53,96.3,55.87
5391.5,,0.122,10.75,89.67,16.56,4.49,2.54,72.97,11.81
5394.4,,2.021,9.81,40.63,12.34,3.53,2.64,76,11.86
5397.3,,0.376,10.03,49.53,10.94,4.34,2.55,64.09,13.69
5400.2,,0.271,8.19,152.99,7.53,4.6,2.35,55.29,18.65
5403.1,,0.049,7.52,27.81,17.99,3.39,2.74,55.39,36.72
5406,,0.136,12.37,38.32,7.02,4.21,2.56,88.57,346.76
5408.9,,0.56,9.33,52.42,27.02,3.93,2.43,72.3,6.62
5411.8,,0.888,9.39,61.56,20.36,3.42,2.48,83.53,15.91
5414.8,,0.235,17.93,30.62,15.77,3.92,2.47,69.26,10.86
5417.7,,4.823,13.35,73.35,22.31,4.3,2.44,60.97,1248.71
5420.6,,0.096,13.86,28.57,3.05,4.36,2.68,73.32,58.57
5426.4,,0.318,8.14,34.9,17.5,5.04,2.58,47.67,34.07
5429.3,,0.139,6.92,18.48,17.67,3.42,2.58,53.95,56.68
5432.2,,0.402,16.14,25.22,30.39,3.4,2.46,83.48,141.4
5435.1,,0.184,10.27,46.91,16.01,2.91,2.46,84.72,0.84
5438,,0.33,15.88,117.93,16.12,5.58,2.68,67.67,376.53
5441,,1.404,17.63,38.7,24.49,5.15,2.43,94.73,31.18
5443.9,,1.54,9.84,57.03,11.23,4.53,2.36,66.89,36.21
5446.8,,0.308,8.61,43.66,17.35,2.37,2.48,70.31,59.26
5449.7,,0.683,9.7,26.57,15.49,4.67,2.47,62.63,561.79
5452.6,,1.448,12.25,22.36,26.11,3.83,2.59,67.94,7.56
5455.5,,0.271,12.36,25.27,22.16,3.89,2.32,87.33,905.63
5458.4,,0.021,10.42,41.95,10.5,8.12,2.72,81.04,50.1
5461.3,,1.047,6.56,42.92,22.92,3.45,2.47,56.1,20.42
5464.2,,0.3,14.55,32.16,14.75,4.55,2.74,79.2,160.73
5467.2,,0.302,12.07,78,24.09,5.52,2.54,60.01,29.8
5470.1,,0.047,12.95,51.77,20.13,4.3,2.59,102.57,88.62
5475.9,,0.447,6.68,62.73,21.32,4.69,2.75,89.05,11.7
5478.8,,1.214,10.7,51.53,3.76,3.76,2.5,70.08,31.42
5481.7,,0.382,14.45,66.5,-0.42,3.85,2.83,116.42,1
5484.6,,0.368,7.55,55.96,-0.78,8.35,2.77,51.69,7.93
5487.5,,0.321,9.22,26.86,38.96,4.01,2.64,48.77,39.02
5490.4,,0.779,10.48,29.64,22.36,3.65,2.5,79.36,35.98
5493.3,,0.921,8.24,58.92,13.7,3.27,2.57,83.37,68.44
5496.3,,0.864,9.36,70.83,23.29,3.93,2.71,78.37,181.92
5499.2,,0.229,12.53,46.53,9.74,3.85,2.51,84.68,113.68
5502.1,,0.275,11.11,31.41,35.97,5.82,2.51,70.35,28.02
5505,,0.047,6.97,17.4,14.42,5.59,2.5,54.87,135.48
5507.9,,0.763,11.25,79.13,8.08,4.43,2.63,61.41,124.52
5510.8,,0.381,10.34,50.96,16.15,4.67,2.45,71.11,8.84
5513.7,,0.048,8.72,19.79,20.18,5.43,2.3,71.15,378.41
5516.6,,0.896,11.7,33.86,22.31,4.52,2.47,52.52,346.64
5519.5,,0.272,8.05,39.95,12.29,3.98,2.57,76.1,4.92
5525.4,,0.199,9.93,55.1,13.96,4.96,2.53,102.5,5.32
5528.3,,0.292,9.15,26.45,22.64,5.3,2.49,54.34,15.14
5531.2,,1.317,7.35,34.08,25.25,4.65,2.64,76.1,870.14
5534.1,,0.532,13.28,34.31,12.43,6.42,2.42,112.18,695.53
5537,,0.363,14.45,62.45,11.31,5.73,2.23,58.85,25.51
5539.9,,0.4,9.97,110.73,4.36,5.17,2.52,69.77,8.59
5542.8,,0.066,12.26,29.15,1.98,4.06,2.42,72.32,2.08
5545.7,,0.005,7.68,50.36,31.02,3.46,2.42,62.24,136.81
5548.7,,0.354,11.37,35.97,1.71,4.64,2.4,62.45,74.55
5551.6,,1.628,9.16,49.39,17.19,4.14,2.49,74.83,35.25
5554.5,,0.78,16.42,105.2,12.39,4.16,2.35,51.55,81.86
5557.4,,0.756,12.68,68.78,33.29,4.79,2.46,52.66,313.43
5560.3,,1.357,16.13,41.87,19.4,3.9,2.54,82.58,40.24
5563.2,,1.351,12.7,28.47,14.41,3.87,2.49,82.13,1.39
5566.1,,0.448,8.51,84.98,33.22,4.19,2.46,82.31,96.66
5569,,4.957,9.92,40.1,24.27,3.4,2.42,98.57,158.42
5574.9,,0.126,6.55,62.83,29.3,7.35,2.7,85.4,15.1
