model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_1_FFNN,85,0.46,0.444,0.173,0.718,0.478,0.804,0.257,0.836,19,22.353
predicted_COT_model_1_XGB,85,0.46,0.444,0.173,0.601,0.484,0.553,0.141,0.57,15,17.647
predicted_COT_model_1_FFNN,85,0.46,0.444,0.173,0.718,0.478,0.804,0.257,0.836,19,22.353
predicted_COT_model_1_XGB,85,0.46,0.444,0.173,0.601,0.484,0.553,0.141,0.57,15,17.647
predicted_COT_model_1_FFNN,85,0.46,0.444,0.173,0.718,0.478,0.804,0.257,0.836,19,22.353
predicted_COT_model_1_XGB,85,0.46,0.444,0.173,0.601,0.484,0.553,0.141,0.57,15,17.647
predicted_COT_model_1_FFNN,85,0.46,0.444,0.173,0.718,0.478,0.804,0.257,0.836,19,22.353
predicted_COT_model_1_XGB,85,0.46,0.444,0.173,0.601,0.484,0.553,0.141,0.57,15,17.647
predicted_COT_model_1_FFNN,85,0.46,0.444,0.173,0.718,0.478,0.804,0.257,0.836,19,22.353
predicted_COT_model_1_XGB,85,0.46,0.444,0.173,0.601,0.484,0.553,0.141,0.57,15,17.647
predicted_COT_model_1_FFNN,85,0.46,0.444,0.173,0.718,0.478,0.804,0.257,0.836,19,22.353
predicted_COT_model_1_XGB,85,0.46,0.444,0.173,0.601,0.484,0.553,0.141,0.57,15,17.647
predicted_COT_model_1_FFNN,85,0.46,0.444,0.173,0.718,0.478,0.804,0.257,0.836,19,22.353
predicted_COT_model_1_XGB,85,0.46,0.444,0.173,0.601,0.484,0.553,0.141,0.57,15,17.647
