model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596
predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101
predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596
predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101
predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596
predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101
predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596
predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101
predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596
predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101
predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596
predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101
predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596
predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101
