model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_1_FFNN,94,0.467,0.45,0.226,0.738,0.502,0.897,0.271,0.887,20,21.277
predicted_COT_model_1_XGB,94,0.467,0.45,0.226,0.515,0.458,0.505,0.048,0.487,10,10.638
predicted_COT_model_1_FFNN,94,0.467,0.45,0.226,0.738,0.502,0.897,0.271,0.887,20,21.277
predicted_COT_model_1_XGB,94,0.467,0.45,0.226,0.515,0.458,0.505,0.048,0.487,10,10.638
predicted_COT_model_1_FFNN,94,0.467,0.45,0.226,0.738,0.502,0.897,0.271,0.887,20,21.277
predicted_COT_model_1_XGB,94,0.467,0.45,0.226,0.515,0.458,0.505,0.048,0.487,10,10.638
predicted_COT_model_1_FFNN,94,0.467,0.45,0.226,0.738,0.502,0.897,0.271,0.887,20,21.277
predicted_COT_model_1_XGB,94,0.467,0.45,0.226,0.515,0.458,0.505,0.048,0.487,10,10.638
predicted_COT_model_1_FFNN,94,0.467,0.45,0.226,0.738,0.502,0.897,0.271,0.887,20,21.277
predicted_COT_model_1_XGB,94,0.467,0.45,0.226,0.515,0.458,0.505,0.048,0.487,10,10.638
predicted_COT_model_1_FFNN,94,0.467,0.45,0.226,0.738,0.502,0.897,0.271,0.887,20,21.277
