,Unnamed: 0.1,Unnamed: 0,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,0,0,model_2_XGB,dataset_D,-1.0608,-0.4461,2.1886,1.4879,0.5201,0.6683,91.7677,47,model_2,dataset_D
1,1,1,model_2_FFNN,dataset_D,-1.1322,-0.4282,2.2262,1.531,0.5129,0.6466,100.6428,47,model_2,dataset_D
2,2,0,model_11_XGB,dataset_D,-0.373,-0.4295,1.913,1.3649,0.5267,0.6369,111.108,35,model_11,dataset_D
3,3,1,model_11_FFNN,dataset_D,-0.2684,-0.9889,1.8386,1.2971,0.5116,0.623,108.51,35,model_11,dataset_D
4,4,0,model_5_FFNN,dataset_A,-0.0393,0.3573,1.4819,1.0051,0.428,0.5285,145.1121,103,model_5,dataset_A
5,5,1,model_5_XGB,dataset_A,-0.1988,0.2286,1.5916,1.058,0.4522,0.58,157.2666,103,model_5,dataset_A
12,12,0,model_7_XGB,dataset_A,0.0249,0.1836,1.4354,1.0742,0.4726,0.5417,244.2275,103,model_7,dataset_A
13,13,1,model_7_FFNN,dataset_A,-0.0519,0.1441,1.4909,1.1265,0.4932,0.5612,248.982,103,model_7,dataset_A
14,14,0,model_6_XGB,dataset_A,-0.0192,0.1888,1.4675,1.1037,0.4784,0.5361,258.1043,103,model_6,dataset_A
15,15,1,model_6_FFNN,dataset_A,-0.0408,0.1132,1.483,1.1666,0.5086,0.5597,283.6261,103,model_6,dataset_A
16,16,0,model_9_XGB,dataset_D,-0.1828,0.1824,1.7755,1.1787,0.4172,0.5295,101.9457,35,model_9,dataset_D
17,17,1,model_9_FFNN,dataset_D,-0.1536,0.205,1.7534,1.2027,0.4023,0.5188,111.8719,35,model_9,dataset_D
18,18,0,model_5_FFNN,dataset_B,-0.2722,-0.0011,2.1825,1.2188,0.4609,0.649,92.5378,258,model_5,dataset_B
19,19,1,model_5_XGB,dataset_B,-0.2671,-0.074,2.1781,1.2841,0.4934,0.6591,115.8875,258,model_5,dataset_B
22,22,0,model_4_FFNN,dataset_A,-0.03,0.1337,1.4753,1.1546,0.4958,0.5607,288.5484,103,model_4,dataset_A
23,23,1,model_4_XGB,dataset_A,-0.0035,0.1776,1.4562,1.1012,0.4814,0.5388,250.9253,103,model_4,dataset_A
24,24,0,model_4_FFNN,dataset_B,-0.2315,-0.0462,2.1473,1.3592,0.5089,0.6442,219.0904,258,model_4,dataset_B
25,25,1,model_4_XGB,dataset_B,-0.1812,0.1278,2.103,1.231,0.4586,0.6018,159.0529,258,model_4,dataset_B
26,26,0,model_2_XGB,dataset_B,-0.3818,-0.1724,2.2746,1.3834,0.5307,0.7081,155.2756,258,model_2,dataset_B
27,27,1,model_2_FFNN,dataset_B,-0.3234,-0.1907,2.226,1.3517,0.5122,0.6758,134.9335,258,model_2,dataset_B
30,30,0,model_8_XGB,dataset_B,-0.1499,0.1832,2.075,1.2117,0.4481,0.5855,151.4294,258,model_8,dataset_B
31,31,1,model_8_FFNN,dataset_B,-0.1509,0.2309,2.0758,1.1828,0.4342,0.5782,132.2612,258,model_8,dataset_B
34,34,0,model_9_XGB,dataset_A,-0.1941,-0.0499,1.5885,1.2803,0.555,0.6137,364.2201,103,model_9,dataset_A
35,35,1,model_9_FFNN,dataset_A,-0.2332,-0.048,1.6143,1.2389,0.5278,0.629,337.3584,103,model_9,dataset_A
37,37,1,model_7_FFNN,dataset_D,-0.3066,0.0676,1.8661,1.238,0.4444,0.5716,107.0332,35,model_7,dataset_D
38,38,0,model_7_XGB,dataset_B,-0.1723,0.1629,2.095,1.2059,0.4475,0.5975,139.7006,258,model_7,dataset_B
39,39,1,model_7_FFNN,dataset_B,-0.2082,0.1083,2.1269,1.2122,0.4523,0.6116,132.9479,258,model_7,dataset_B
47,47,1,model_3_XGB,dataset_D,-0.1104,0.2186,1.6065,1.0864,0.3744,0.4723,90.4667,47,model_3,dataset_D
48,48,0,model_11_XGB,dataset_A,-0.2797,0.0343,1.6445,1.2121,0.5122,0.6065,300.2863,103,model_11,dataset_A
49,49,1,model_11_FFNN,dataset_A,-0.1021,0.0166,1.5261,1.0696,0.4602,0.5565,243.607,103,model_11,dataset_A
50,50,0,model_1_FFNN,dataset_D,-1.0272,-0.6671,2.3244,1.7339,0.5923,0.7166,214.6366,35,model_1,dataset_D
51,51,1,model_1_XGB,dataset_D,-0.651,-0.2642,2.0977,1.4031,0.4657,0.6124,138.6903,35,model_1,dataset_D
52,52,0,model_5_FFNN,dataset_D,-0.3258,0.0438,1.8798,1.2543,0.4575,0.5808,96.4282,35,model_5,dataset_D
53,53,1,model_5_XGB,dataset_D,-0.3645,-0.4134,1.907,1.2335,0.4749,0.6406,96.1793,35,model_5,dataset_D
54,54,0,model_6_XGB,dataset_B,-0.1047,0.2031,2.0337,1.1966,0.4415,0.5687,160.9445,258,model_6,dataset_B
55,55,1,model_6_FFNN,dataset_B,-0.1543,0.1276,2.0789,1.2499,0.4665,0.5956,171.4117,258,model_6,dataset_B
56,56,0,model_3_FFNN,dataset_A,0.123,0.2945,1.3613,0.9853,0.4196,0.5079,218.4247,103,model_3,dataset_A
57,57,1,model_3_XGB,dataset_A,-0.519,0.1783,1.7916,1.2456,0.4832,0.5808,273.5796,103,model_3,dataset_A
58,58,0,model_3_FFNN,dataset_B,0.07,0.2528,1.866,1.152,0.4244,0.5257,162.1959,258,model_3,dataset_B
59,59,1,model_3_XGB,dataset_B,0.1887,0.3228,1.7429,1.1145,0.4084,0.4941,168.5629,258,model_3,dataset_B
62,62,0,model_11_XGB,dataset_B,0.0574,0.1238,1.8786,1.1966,0.4457,0.5547,205.1414,258,model_11,dataset_B
63,63,1,model_11_FFNN,dataset_B,-0.1014,0.0818,2.0307,1.219,0.4519,0.586,137.3715,258,model_11,dataset_B
66,66,0,model_8_XGB,dataset_A,0.0258,0.2706,1.4348,1.036,0.445,0.5128,216.6434,103,model_8,dataset_A
67,67,1,model_8_FFNN,dataset_A,-0.0407,0.1943,1.4829,1.097,0.4767,0.5413,238.7542,103,model_8,dataset_A
70,70,0,model_1_FFNN,dataset_B,-0.1826,0.0135,2.1042,1.2987,0.4925,0.6394,152.034,258,model_1,dataset_B
71,71,1,model_1_XGB,dataset_B,-0.3192,-0.1449,2.2224,1.328,0.501,0.6818,111.366,258,model_1,dataset_B
72,72,0,model_10_FFNN,dataset_A,-0.0461,0.3202,1.4868,1.036,0.4441,0.5312,168.2155,103,model_10,dataset_A
73,73,1,model_10_XGB,dataset_A,-0.1366,0.2949,1.5497,1.0483,0.4482,0.5587,164.916,103,model_10,dataset_A
76,76,0,model_8_XGB,dataset_D,-0.2878,0.1232,1.8526,1.191,0.4213,0.5608,92.6002,35,model_8,dataset_D
77,77,1,model_8_FFNN,dataset_D,-0.2869,0.1063,1.852,1.2184,0.4362,0.5616,98.668,35,model_8,dataset_D
78,78,0,model_9_XGB,dataset_B,-0.3095,-0.0868,2.2143,1.4527,0.5328,0.6669,245.9175,258,model_9,dataset_B
79,79,1,model_9_FFNN,dataset_B,-0.6358,-0.5065,2.4748,1.6746,0.6144,0.7735,310.345,258,model_9,dataset_B
82,82,0,model_1_FFNN,dataset_A,-0.0418,0.1454,1.4837,1.1423,0.4937,0.5907,271.9632,103,model_1,dataset_A
83,83,1,model_1_XGB,dataset_A,-0.1712,0.1999,1.5732,1.1295,0.4811,0.5934,192.4787,103,model_1,dataset_A
84,84,0,model_10_FFNN,dataset_B,-0.2433,0.1059,2.1575,1.2161,0.4555,0.627,112.1818,258,model_10,dataset_B
85,85,1,model_10_XGB,dataset_B,-0.2466,0.0808,2.1604,1.2381,0.4664,0.634,109.9381,258,model_10,dataset_B
86,86,0,model_2_XGB,dataset_A,-0.3078,0.1272,1.6624,1.218,0.5247,0.6485,215.5107,103,model_2,dataset_A
87,87,1,model_2_FFNN,dataset_A,-0.3372,0.1807,1.681,1.1637,0.4864,0.5941,245.1141,103,model_2,dataset_A
