,model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1,Modelo,Poço
0,predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989,model_2,dataset_B
1,predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112,model_2,dataset_B
2,predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989,model_2,dataset_B
3,predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112,model_2,dataset_B
4,predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989,model_2,dataset_B
5,predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112,model_2,dataset_B
6,predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989,model_2,dataset_B
7,predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112,model_2,dataset_B
8,predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989,model_2,dataset_B
9,predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112,model_2,dataset_B
