,Unnamed: 0.1,Unnamed: 0,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
2,2,0,model_3_FFNN,dataset_E,-1.0917,-0.6516,1.6107,1.1558,0.5221,0.6336,998.2755,273,model_3,dataset_E
3,3,1,model_3_XGB,dataset_E,-0.9083,-0.6057,1.5385,1.0885,0.5052,0.6124,1065.9673,273,model_3,dataset_E
4,4,0,model_6_XGB,dataset_B,0.1019,0.5534,3.1456,1.4541,0.3982,0.5533,88.3089,142,model_6,dataset_B
5,5,1,model_6_FFNN,dataset_B,0.0117,0.4523,3.2996,1.5345,0.4352,0.6111,98.6835,142,model_6,dataset_B
12,12,0,model_3_FFNN,dataset_D,0.1664,0.3443,2.3207,1.1225,0.4512,0.5509,319.6585,165,model_3,dataset_D
13,13,1,model_3_XGB,dataset_D,0.1136,0.3533,2.393,1.1498,0.4522,0.5582,312.2325,165,model_3,dataset_D
16,16,0,model_2_XGB,dataset_F,0.1001,0.0561,1.5508,0.8652,0.4115,0.5609,1072.0726,241,model_2,dataset_F
18,18,0,model_4_FFNN,dataset_F,-0.0475,-0.211,1.6732,1.1622,0.5546,0.6232,2165.4598,241,model_4,dataset_F
19,19,1,model_4_XGB,dataset_F,0.1606,-0.1152,1.4978,1.0025,0.5048,0.5587,1525.955,241,model_4,dataset_F
22,22,0,model_2_XGB,dataset_A,-4.5853,-2.9915,2.014,1.2421,0.4916,0.6662,174.4108,267,model_2,dataset_A
23,23,1,model_2_FFNN,dataset_A,-4.6417,-1.0935,2.0241,1.1614,0.4174,0.5923,148.1767,267,model_2,dataset_A
24,24,0,model_8_XGB,dataset_D,0.1569,0.3515,2.3339,1.1109,0.4363,0.5471,326.0482,165,model_8,dataset_D
25,25,1,model_8_FFNN,dataset_D,0.0682,0.269,2.4535,1.1993,0.486,0.5902,349.2623,165,model_8,dataset_D
32,32,0,model_4_FFNN,dataset_E,-1.5279,-0.3295,1.7707,1.0097,0.4553,0.5712,682.1677,273,model_4,dataset_E
42,42,0,model_6_XGB,dataset_F,0.0308,-0.0951,1.6094,1.0273,0.5029,0.5728,1570.2195,241,model_6,dataset_F
43,43,1,model_6_FFNN,dataset_F,0.073,-0.1569,1.574,1.0726,0.53,0.5824,1773.3215,241,model_6,dataset_F
52,52,0,model_11_XGB,dataset_B,0.2953,0.3663,2.7863,1.3668,0.3893,0.5762,92.0742,142,model_11,dataset_B
53,53,1,model_11_FFNN,dataset_B,-0.2071,0.1843,3.6468,1.7683,0.4858,0.6961,131.9263,142,model_11,dataset_B
55,55,1,model_5_XGB,dataset_E,-0.2594,-0.2398,1.2499,0.8138,0.4091,0.5028,498.294,273,model_5,dataset_E
56,56,0,model_2_XGB,dataset_D,0.2599,0.4081,2.1867,1.0584,0.4006,0.5254,264.9367,165,model_2,dataset_D
57,57,1,model_2_FFNN,dataset_D,0.0658,0.2369,2.4567,1.1724,0.4768,0.6257,309.5009,165,model_2,dataset_D
59,59,1,model_4_XGB,dataset_B,0.2009,0.4987,2.9671,1.4346,0.4181,0.5623,104.4932,142,model_4,dataset_B
65,65,1,model_9_FFNN,dataset_A,-1.8146,-2.3801,1.4297,0.9637,0.4324,0.5752,97.7367,267,model_9,dataset_A
