Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_9_XGB,dataset_A,-0.1664,0.066,0.9204,0.604,0.2558,0.3481,64.5899,267
model_9_FFNN,dataset_A,-1.8146,-2.3801,1.4297,0.9637,0.4324,0.5752,97.7367,267
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_9_XGB,dataset_B,-0.076,0.2171,3.443,1.7809,0.5433,0.7002,153.6501,142
model_9_FFNN,dataset_B,-0.0463,-0.0279,3.3951,1.6925,0.5077,0.7034,118.3508,142
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_9_XGB,dataset_D,-0.366,-0.4422,2.9708,2.0513,0.81,0.909,937.1462,165
model_9_FFNN,dataset_D,-0.249,-0.3906,2.8406,2.0434,0.7992,0.8947,885.97,165
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_9_XGB,dataset_F,-0.8649,-0.617,2.2325,1.7116,0.7559,0.843,2880.839,241
model_9_FFNN,dataset_F,-0.5409,-0.5343,2.0293,1.5608,0.6996,0.7997,2928.2879,241
