Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_11_XGB,dataset_B,0.2953,0.3663,2.7863,1.3668,0.3893,0.5762,92.0742,142
model_11_FFNN,dataset_B,-0.2071,0.1843,3.6468,1.7683,0.4858,0.6961,131.9263,142
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_3_FFNN,dataset_A,-0.2984,-1.0817,0.971,0.6733,0.311,0.4217,67.6107,267
model_3_XGB,dataset_A,-0.2954,-0.3148,0.9699,0.7051,0.3044,0.3931,112.6082,267
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_3_FFNN,dataset_D,0.1664,0.3443,2.3207,1.1225,0.4512,0.5509,319.6585,165
model_3_XGB,dataset_D,0.1136,0.3533,2.393,1.1498,0.4522,0.5582,312.2325,165
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_3_FFNN,dataset_F,0.2708,0.077,1.396,0.8715,0.4216,0.4919,1432.0704,241
model_3_XGB,dataset_F,0.3183,0.0823,1.3498,0.8438,0.417,0.4744,1273.5057,241
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_11_XGB,dataset_A,0.3851,0.1843,0.6683,0.4659,0.2079,0.2784,56.4379,267
model_11_FFNN,dataset_A,0.1241,-0.1104,0.7975,0.5634,0.2536,0.3322,73.665,267
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_11_XGB,dataset_D,0.3784,0.6571,2.004,0.7053,0.2493,0.418,152.9528,165
model_11_FFNN,dataset_D,0.4129,0.6504,1.9475,0.709,0.265,0.4064,148.467,165
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_11_XGB,dataset_F,0.5829,0.4887,1.0559,0.476,0.2234,0.3349,506.9583,241
model_11_FFNN,dataset_F,0.4335,0.4359,1.2305,0.5992,0.2673,0.411,864.817,241
,,,,,,,,,
Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points
model_3_FFNN,dataset_B,0.4224,0.5781,2.5227,1.2822,0.3747,0.4798,107.2179,142
model_3_XGB,dataset_B,0.4406,0.5946,2.4826,1.2608,0.3697,0.4692,103.3683,142
