Model,Dataset,R²_log,MALE,RMSLE,Modelo
model_5_FFNN,dataset_A,-0.021,0.2614,0.339,Santos_não
model_5_XGB,dataset_A,0.1232,0.2087,0.3431,Santos_não
model_5_FFNN,dataset_D,0.6396,0.312,0.4864,Santos_não
model_5_XGB,dataset_D,0.7283,0.2013,0.2506,Santos_não
model_5_FFNN,dataset_F,0.3867,0.2965,0.3903,Santos_não
model_5_XGB,dataset_F,0.6325,0.1554,0.2132,Santos_não
model_10_FFNN,dataset_B,0.562,0.383,0.5561,Santos_não
model_10_XGB,dataset_B,0.7783,0.2493,0.3491,Santos_não
model_1_FFNN,dataset_A,-0.5961,0.3287,0.4703,Santos_sim
model_1_XGB,dataset_A,-0.5803,0.2888,0.3834,Santos_sim
model_1_FFNN,dataset_D,0.5308,0.2898,0.3497,Santos_sim
model_1_XGB,dataset_D,0.6906,0.2249,0.301,Santos_sim
model_1_FFNN,dataset_F,0.2138,0.3386,0.4306,Santos_sim
model_1_XGB,dataset_F,0.5366,0.1986,0.2782,Santos_sim
model_2_XGB,dataset_B,0.6474,0.2914,0.4103,Santos_sim
model_2_FFNN,dataset_B,0.6317,0.2912,0.3947,Santos_sim
model_11_XGB,dataset_A,0.1843,0.2079,0.2784,Santos_espec
model_11_FFNN,dataset_A,-0.1104,0.2536,0.3322,Santos_espec
model_11_XGB,dataset_D,0.6571,0.2493,0.418,Santos_espec
model_11_FFNN,dataset_D,0.6504,0.265,0.4064,Santos_espec
model_11_XGB,dataset_F,0.4887,0.2234,0.3349,Santos_espec
model_11_FFNN,dataset_F,0.4359,0.2673,0.411,Santos_espec
model_3_FFNN,dataset_B,0.5781,0.3747,0.4798,Santos_espec
model_3_XGB,dataset_B,0.5946,0.3697,0.4692,Santos_espec
model_8_XGB,dataset_A,0.1279,0.2401,0.3264,bdo_comp
model_8_FFNN,dataset_A,0.0576,0.2583,0.3446,bdo_comp
model_8_XGB,dataset_D,0.3515,0.4363,0.5471,bdo_comp
model_8_FFNN,dataset_D,0.269,0.486,0.5902,bdo_comp
model_8_XGB,dataset_F,0.1283,0.3924,0.4635,bdo_comp
model_8_FFNN,dataset_F,0.0785,0.425,0.4895,bdo_comp
model_6_XGB,dataset_B,0.5534,0.3982,0.5533,bdo_comp
model_6_FFNN,dataset_B,0.4523,0.4352,0.6111,bdo_comp
model_7_XGB,dataset_A,0.3678,0.1981,0.271,Sant|Camp
model_7_FFNN,dataset_A,0.0791,0.2507,0.3299,Sant|Camp
model_7_XGB,dataset_D,0.4267,0.3923,0.5109,Sant|Camp
model_7_FFNN,dataset_D,0.3178,0.4611,0.5669,Sant|Camp
model_7_XGB,dataset_F,0.2129,0.3429,0.4167,Sant|Camp
model_7_FFNN,dataset_F,0.1093,0.4038,0.4691,Sant|Camp
model_4_FFNN,dataset_B,0.5551,0.389,0.4983,Sant|Camp
model_4_XGB,dataset_B,0.4987,0.4181,0.5623,Sant|Camp
