,Unnamed: 0,model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1,Modelo,Poço
0,0,predicted_COT_model_11_XGB,205,0.226,0.157,0.2,0.438,0.35,0.356,0.212,0.414,18,8.78,model_11,dataset_F
1,1,predicted_COT_model_11_FFNN,205,0.226,0.157,0.2,0.511,0.325,0.602,0.285,0.665,19,9.268,model_11,dataset_F
2,2,predicted_COT_model_11_XGB,205,0.226,0.157,0.2,0.438,0.35,0.356,0.212,0.414,18,8.78,model_11,dataset_F
3,3,predicted_COT_model_11_FFNN,205,0.226,0.157,0.2,0.511,0.325,0.602,0.285,0.665,19,9.268,model_11,dataset_F
4,0,predicted_COT_model_3_FFNN,216,0.367,0.323,0.247,1.453,1.192,0.986,1.086,1.48,135,62.5,model_3,dataset_E
5,1,predicted_COT_model_3_XGB,216,0.367,0.323,0.247,1.424,1.223,0.865,1.056,1.397,131,60.648,model_3,dataset_E
6,2,predicted_COT_model_3_FFNN,216,0.367,0.323,0.247,1.453,1.192,0.986,1.086,1.48,135,62.5,model_3,dataset_E
7,3,predicted_COT_model_3_XGB,216,0.367,0.323,0.247,1.424,1.223,0.865,1.056,1.397,131,60.648,model_3,dataset_E
8,4,predicted_COT_model_3_FFNN,216,0.367,0.323,0.247,1.453,1.192,0.986,1.086,1.48,135,62.5,model_3,dataset_E
9,5,predicted_COT_model_3_XGB,216,0.367,0.323,0.247,1.424,1.223,0.865,1.056,1.397,131,60.648,model_3,dataset_E
10,0,predicted_COT_model_6_XGB,89,0.466,0.445,0.173,0.845,0.79,0.247,0.379,0.462,16,17.978,model_6,dataset_B
11,1,predicted_COT_model_6_FFNN,89,0.466,0.445,0.173,0.899,0.865,0.249,0.433,0.513,28,31.461,model_6,dataset_B
12,2,predicted_COT_model_6_XGB,89,0.466,0.445,0.173,0.845,0.79,0.247,0.379,0.462,16,17.978,model_6,dataset_B
13,3,predicted_COT_model_6_FFNN,89,0.466,0.445,0.173,0.899,0.865,0.249,0.433,0.513,28,31.461,model_6,dataset_B
14,4,predicted_COT_model_6_XGB,89,0.466,0.445,0.173,0.845,0.79,0.247,0.379,0.462,16,17.978,model_6,dataset_B
15,5,predicted_COT_model_6_FFNN,89,0.466,0.445,0.173,0.899,0.865,0.249,0.433,0.513,28,31.461,model_6,dataset_B
16,0,predicted_COT_model_7_XGB,205,0.226,0.157,0.2,0.661,0.604,0.288,0.435,0.54,16,7.805,model_7,dataset_F
17,1,predicted_COT_model_7_FFNN,205,0.226,0.157,0.2,0.748,0.724,0.244,0.522,0.592,18,8.78,model_7,dataset_F
18,2,predicted_COT_model_7_XGB,205,0.226,0.157,0.2,0.661,0.604,0.288,0.435,0.54,16,7.805,model_7,dataset_F
19,3,predicted_COT_model_7_FFNN,205,0.226,0.157,0.2,0.748,0.724,0.244,0.522,0.592,18,8.78,model_7,dataset_F
20,0,predicted_COT_model_5_FFNN,137,0.196,0.155,0.126,0.423,0.369,0.156,0.227,0.282,0,0.0,model_5,dataset_D
21,1,predicted_COT_model_5_XGB,137,0.196,0.155,0.126,0.42,0.378,0.228,0.225,0.326,2,1.46,model_5,dataset_D
22,2,predicted_COT_model_5_FFNN,137,0.196,0.155,0.126,0.423,0.369,0.156,0.227,0.282,0,0.0,model_5,dataset_D
23,3,predicted_COT_model_5_XGB,137,0.196,0.155,0.126,0.42,0.378,0.228,0.225,0.326,2,1.46,model_5,dataset_D
24,4,predicted_COT_model_5_FFNN,137,0.196,0.155,0.126,0.423,0.369,0.156,0.227,0.282,0,0.0,model_5,dataset_D
25,5,predicted_COT_model_5_XGB,137,0.196,0.155,0.126,0.42,0.378,0.228,0.225,0.326,2,1.46,model_5,dataset_D
26,0,predicted_COT_model_1_FFNN,137,0.196,0.155,0.126,0.543,0.549,0.256,0.347,0.45,4,2.92,model_1,dataset_D
27,1,predicted_COT_model_1_XGB,137,0.196,0.155,0.126,0.449,0.375,0.332,0.254,0.429,3,2.19,model_1,dataset_D
28,2,predicted_COT_model_1_FFNN,137,0.196,0.155,0.126,0.543,0.549,0.256,0.347,0.45,4,2.92,model_1,dataset_D
29,3,predicted_COT_model_1_XGB,137,0.196,0.155,0.126,0.449,0.375,0.332,0.254,0.429,3,2.19,model_1,dataset_D
30,4,predicted_COT_model_1_FFNN,137,0.196,0.155,0.126,0.543,0.549,0.256,0.347,0.45,4,2.92,model_1,dataset_D
31,5,predicted_COT_model_1_XGB,137,0.196,0.155,0.126,0.449,0.375,0.332,0.254,0.429,3,2.19,model_1,dataset_D
32,6,predicted_COT_model_1_FFNN,137,0.196,0.155,0.126,0.543,0.549,0.256,0.347,0.45,4,2.92,model_1,dataset_D
33,7,predicted_COT_model_1_XGB,137,0.196,0.155,0.126,0.449,0.375,0.332,0.254,0.429,3,2.19,model_1,dataset_D
34,0,predicted_COT_model_3_FFNN,137,0.196,0.155,0.126,0.772,0.721,0.32,0.576,0.657,21,15.328,model_3,dataset_D
35,1,predicted_COT_model_3_XGB,137,0.196,0.155,0.126,0.752,0.636,0.41,0.557,0.685,12,8.759,model_3,dataset_D
36,2,predicted_COT_model_3_FFNN,137,0.196,0.155,0.126,0.772,0.721,0.32,0.576,0.657,21,15.328,model_3,dataset_D
37,3,predicted_COT_model_3_XGB,137,0.196,0.155,0.126,0.752,0.636,0.41,0.557,0.685,12,8.759,model_3,dataset_D
38,4,predicted_COT_model_3_FFNN,137,0.196,0.155,0.126,0.772,0.721,0.32,0.576,0.657,21,15.328,model_3,dataset_D
39,5,predicted_COT_model_3_XGB,137,0.196,0.155,0.126,0.752,0.636,0.41,0.557,0.685,12,8.759,model_3,dataset_D
40,0,predicted_COT_model_4_FFNN,103,0.483,0.47,0.229,1.203,0.982,1.551,0.72,1.714,50,48.544,model_4,dataset_C
41,1,predicted_COT_model_4_XGB,103,0.483,0.47,0.229,0.999,0.965,0.501,0.515,0.742,44,42.718,model_4,dataset_C
42,2,predicted_COT_model_4_FFNN,103,0.483,0.47,0.229,1.203,0.982,1.551,0.72,1.714,50,48.544,model_4,dataset_C
43,3,predicted_COT_model_4_XGB,103,0.483,0.47,0.229,0.999,0.965,0.501,0.515,0.742,44,42.718,model_4,dataset_C
44,4,predicted_COT_model_4_FFNN,103,0.483,0.47,0.229,1.203,0.982,1.551,0.72,1.714,50,48.544,model_4,dataset_C
45,5,predicted_COT_model_4_XGB,103,0.483,0.47,0.229,0.999,0.965,0.501,0.515,0.742,44,42.718,model_4,dataset_C
46,0,predicted_COT_model_2_XGB,205,0.226,0.157,0.2,0.66,0.529,0.797,0.434,0.909,21,10.244,model_2,dataset_F
47,1,predicted_COT_model_2_FFNN,205,0.226,0.157,0.2,0.681,0.634,0.444,0.456,0.64,13,6.341,model_2,dataset_F
48,2,predicted_COT_model_2_XGB,205,0.226,0.157,0.2,0.66,0.529,0.797,0.434,0.909,21,10.244,model_2,dataset_F
49,3,predicted_COT_model_2_FFNN,205,0.226,0.157,0.2,0.681,0.634,0.444,0.456,0.64,13,6.341,model_2,dataset_F
50,4,predicted_COT_model_2_XGB,205,0.226,0.157,0.2,0.66,0.529,0.797,0.434,0.909,21,10.244,model_2,dataset_F
51,5,predicted_COT_model_2_FFNN,205,0.226,0.157,0.2,0.681,0.634,0.444,0.456,0.64,13,6.341,model_2,dataset_F
52,0,predicted_COT_model_4_FFNN,205,0.226,0.157,0.2,1.091,0.928,0.45,0.865,0.993,90,43.902,model_4,dataset_F
53,1,predicted_COT_model_4_XGB,205,0.226,0.157,0.2,0.975,0.956,0.196,0.749,0.8,83,40.488,model_4,dataset_F
54,2,predicted_COT_model_4_FFNN,205,0.226,0.157,0.2,1.091,0.928,0.45,0.865,0.993,90,43.902,model_4,dataset_F
55,3,predicted_COT_model_4_XGB,205,0.226,0.157,0.2,0.975,0.956,0.196,0.749,0.8,83,40.488,model_4,dataset_F
56,4,predicted_COT_model_4_FFNN,205,0.226,0.157,0.2,1.091,0.928,0.45,0.865,0.993,90,43.902,model_4,dataset_F
57,5,predicted_COT_model_4_XGB,205,0.226,0.157,0.2,0.975,0.956,0.196,0.749,0.8,83,40.488,model_4,dataset_F
58,0,predicted_COT_model_10_FFNN,216,0.367,0.323,0.247,0.814,0.778,0.32,0.447,0.595,58,26.852,model_10,dataset_E
59,1,predicted_COT_model_10_XGB,216,0.367,0.323,0.247,0.844,0.767,0.391,0.477,0.666,55,25.463,model_10,dataset_E
60,2,predicted_COT_model_10_FFNN,216,0.367,0.323,0.247,0.814,0.778,0.32,0.447,0.595,58,26.852,model_10,dataset_E
61,3,predicted_COT_model_10_XGB,216,0.367,0.323,0.247,0.844,0.767,0.391,0.477,0.666,55,25.463,model_10,dataset_E
62,0,predicted_COT_model_2_XGB,143,0.629,0.64,0.185,1.439,0.56,2.106,0.81,2.27,35,24.476,model_2,dataset_A
63,1,predicted_COT_model_2_FFNN,143,0.629,0.64,0.185,1.771,1.005,2.006,1.143,2.316,74,51.748,model_2,dataset_A
64,2,predicted_COT_model_2_XGB,143,0.629,0.64,0.185,1.439,0.56,2.106,0.81,2.27,35,24.476,model_2,dataset_A
65,3,predicted_COT_model_2_FFNN,143,0.629,0.64,0.185,1.771,1.005,2.006,1.143,2.316,74,51.748,model_2,dataset_A
66,4,predicted_COT_model_2_XGB,143,0.629,0.64,0.185,1.439,0.56,2.106,0.81,2.27,35,24.476,model_2,dataset_A
67,5,predicted_COT_model_2_FFNN,143,0.629,0.64,0.185,1.771,1.005,2.006,1.143,2.316,74,51.748,model_2,dataset_A
68,0,predicted_COT_model_8_XGB,137,0.196,0.155,0.126,0.708,0.629,0.305,0.512,0.614,12,8.759,model_8,dataset_D
69,1,predicted_COT_model_8_FFNN,137,0.196,0.155,0.126,0.771,0.762,0.144,0.575,0.602,10,7.299,model_8,dataset_D
70,2,predicted_COT_model_8_XGB,137,0.196,0.155,0.126,0.708,0.629,0.305,0.512,0.614,12,8.759,model_8,dataset_D
71,3,predicted_COT_model_8_FFNN,137,0.196,0.155,0.126,0.771,0.762,0.144,0.575,0.602,10,7.299,model_8,dataset_D
72,0,predicted_COT_model_10_FFNN,205,0.226,0.157,0.2,0.657,0.628,0.148,0.431,0.485,6,2.927,model_10,dataset_F
73,1,predicted_COT_model_10_XGB,205,0.226,0.157,0.2,0.616,0.594,0.222,0.39,0.481,6,2.927,model_10,dataset_F
